prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
91,RELLENAR,A,2,1762,SILDENAFIL 50 MG 1 TABLETA,50mg,1,tableta,Disfunción eréctil,Medicamentos,39.0,6,10,EQ-BEA267,Sildenafil beadvance 50 mg 1 tableta,beadvance,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/84)
92,RELLENAR,A,3,378,TRIMETOPRIMA / SULFAMETOXAZOL 160/800MG 14 TABLETAS,800mg,14,tableta,Antibiótico,Medicamentos,39.0,6,10,FC-F8691496,Bactiver F (Sulfametoxazol/Trimetoprima),Bactiver,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
93,RELLENAR,A,5,19,AMBROXOL / DEXTROMETORFANO 225/225MG ADULTO JARABE 1 PIEZA,225mg,1,jarabe,Gripa y tos,Aparato respiratorio,36.0,6,10,FC-28979502,Histiacil NF adulto jarabe,Histiacil Opella,1,100,principios activos completos; concentracion coincide; forma coincide
94,RELLENAR,A,5,449,AMBROXOL/ DEXTROMETORFANO 150/113MG JARABE INFANTIL 120ML,113mg 120ml,,jarabe,Gripa y tos,Aparato respiratorio,36.0,6,10,EQ-BIO188,Broxtorfan Dextrometorfano Ambroxol,Biomep,1,100,principios activos completos; concentracion coincide; forma coincide
95,RELLENAR,A,5,30,AMOXICILINA / BROMHEXINA 500/8MG 12 CAPSULAS,8mg,12,capsula,Antibiótico,Medicamentos,36.0,6,10,FC-05965071,Acroxil-C,Acroxil-C,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
96,RELLENAR,A,3,212,AMPICILINA 1 GR SOLUCION INYECTABLE 1 PIEZA,1000mg,1,solucion,Antibiótico,Medicamentos,36.0,6,10,FC-D210172A,Ampicilina,,3,100,principios activos completos; concentracion coincide; cantidad coincide
97,RELLENAR,A,4,1326,CLORFENAMINA / FENILEFRINA / PARACETAMOL 24 TABLETAS,,24,tableta,Antigripal,Aparato respiratorio,36.0,6,10,FC-76040610,Desenfriolito Plus Masticables,Bayer,2,99,principios activos completos; cantidad coincide; forma coincide
98,RELLENAR,A,4,533,LORATADINA / AMBROXOL 100/600 MG SOLUCION 120 ML 1 PIEZA,120ml 600mg,1,solucion,Antigripal,Aparato respiratorio,36.0,6,10,FC-09740657,Laritol EX (Loratadina/Ambroxol) 100-600 mg/100 mL,Maver,2,95,principios activos completos; concentracion coincide
99,RELLENAR,A,4,2147,LORATADINA 2.5 MG / FENILEFRINA 5 MG / PARACETAMOL 500 MG 12 TABLETAS,2.5mg 500mg 5mg,12,tableta,Antigripal,Aparato respiratorio,36.0,6,10,EQ-MAV182,Laritol D 10 Tab 30/5 Mg,Maver,2,76,principios activos completos; concentracion coincide; cantidad difiere 10≠12; forma coincide
100,RELLENAR,A,4,407,METAMIZOL / BUTILHIOSCINA  250/10MG 10 GRAGEAS,10mg,10,tableta,Analgésicos,Medicamentos,36.0,6,10,EQ-SON034,"Busconet Metamizol sodico, Hioscina",Son's,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
101,RELLENAR,A,5,150,NAPROXENO SODICO/PARACETAMOL 100MG/200MG 5 SUPOSITORIOS,100mg 200mg,5,supositorio,Antiinflamatorio,Medicamentos,36.0,6,10,EQ-LOE066,Pensodil-S 5 Sup 200/100 Mg,Loeffler,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
102,RELLENAR,A,3,1071,AMLODIPINO 5MG 10 TABLETAS,5mg,10,tableta,Antihipertensivo,Medicamentos,35.0,6,10,FC-4A0245DA,Amlodipino,Amlodipino,3,82,principios activos completos; concentracion coincide; cantidad difiere 100≠10; forma coincide; nombre muy parecido (100/56)
103,RELLENAR,A,5,26,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,250mg 75ml,1,suspension,Antibiótico,Medicamentos,34.0,6,10,EQ-WAN013,Vandix 1 Susp 250mg/5/75 Ml,Wandel,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
104,RELLENAR,A,5,2315,IBUPROFENO CAPSULAS 600MG 10 CAPSULAS,600mg,10,capsula,Analgésicos,Medicamentos,34.0,6,10,FC-5C8C9C11,Gelubrin,Gelubrin,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
105,RELLENAR,A,5,147,NAPROXENO SODICO 275 MG 20 TABLETAS,275mg,20,tableta,Analgésicos,Analgesia,34.0,6,10,FC-34092301,Syncol Max tabletas,Syncol Max,1,80,principios activos completos; nuestro catalogo sin concentracion; forma coincide
106,RELLENAR,A,3,152,NAPROXENO SODICO/PARACETAMOL 275MG/300MG 10TABLETAS,275mg 300mg,10,,Analgésicos,Analgesia,34.0,6,10,FC-103521,Brunadol paracetamol/naproxeno 300/275 mg C/10,Brunadol,3,100,principios activos completos; concentracion coincide; cantidad coincide
107,RELLENAR,A,1,675,AMANTADINA / CLORFENAMINA / PARACETAMOL 24 CAPSULAS,,24,capsula,Antigripal,Aparato respiratorio,33.0,6,10,EQ-WER025,"Rosel Amantadina, Clorfenamina, Paracetamol",Wermar,5,99,principios activos completos; cantidad coincide; forma coincide; nombre muy parecido (92/76)
108,RELLENAR,A,5,488,AMOXICILINA / ACIDO CLAVULANICO 200/28.5MG SUSPENSION 40 O 50 ML 1 PIEZA,28.5mg 50ml,1,suspension,Antibiótico,Medicamentos,33.0,6,10,FC-09745140,Clamoxín S 600 mg / 42.9 mg / 5 mL Frasco 50 mL Maver,Maver,1,100,principios activos completos; concentracion coincide; forma coincide
109,RELLENAR,A,4,484,LIDOCAINA  5/100GR (5%) UNGÜENTO 1 PIEZA,100000mg,1,unguento,Analgésicos,Analgesia,33.0,5,8,FC-04908738,Lidocaina unguento 5%,Alpharma,1,82,principios activos completos; concentracion difiere ['35000mg']≠['100000mg']; forma coincide; nombre muy parecido (100/66)
110,RELLENAR,A,3,322,BETAMETASONA/GENTAMICINA/CLOTRIMAZOL 40GR CREMA,40000mg,,crema,Dermatológico,Medicamentos,32.0,6,10,FC-01166066,Barmicil compuesto crema 40 g,Son's,3,100,principios activos completos; concentracion coincide; forma coincide
111,RELLENAR,A,4,620,LORATADINA / AMBROXOL 5/30 MG 10 TABLETAS,30mg,10,tableta,Antigripal,Aparato respiratorio,32.0,6,10,EQ-MAV115,Laritol Ex 10 Tab 30/5 Mg,Maver,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
112,RELLENAR,A,5,149,NAPROXENO 250 MG 30 TABLETAS,250mg,30,tableta,Antiinflamatorio,Medicamentos,32.0,6,10,FC-34092301,Syncol Max tabletas,Syncol Max,1,80,principios activos completos; nuestro catalogo sin concentracion; forma coincide
113,RELLENAR,A,5,510,IBUPROFENO  2GR/100ML SUSPENSION 120 ML 1 PIEZA,100ml 120ml 2000mg,1,suspension,Analgésicos,Analgesia,31.0,6,10,FC-83141929,Dolprin (Ibuprofeno) suspensión 2 g/100 mL,Collins,1,100,principios activos completos; concentracion coincide; forma coincide
114,RELLENAR,A,2,119,IBUPROFENO 800 MG 10 TABLETAS,800mg,10,tableta,Analgésicos,Medicamentos,31.0,6,10,EQ-COL226,Dolprofen 10 Tab 800 Mg,Collins,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
115,RELLENAR,A,5,139,METRONIDAZOL 5GR/100ML  SUSPENSION 120 ML 1 PIEZA,100ml 120ml 5000mg,1,suspension,Antiparasitario,Medicamentos,31.0,6,10,EQ-SON098,Metroson 1 Susp 250mg/5/120 Ml,Son's,1,76,principios activos completos; concentracion coincide; cantidad difiere 120≠1; forma coincide
116,RELLENAR,A,3,184,TRIMETOPRIMA/SULFAMETOXAZOL 800/4000MG SUSPENSION 120ML,120ml 4000mg,,suspension,Antibiótico,Medicamentos,31.0,6,10,FC-00422511,Bactiver sulfametoxazol/trimetoprima susp. 120 mL,Bactiver,3,100,principios activos completos; concentracion coincide; forma coincide
117,RELLENAR,A,4,261,METFORMINA 850 MG 30 TABLETAS,850mg,30,tableta,Diabetes,Medicamentos,30.0,6,10,FC-04908776,Metformina Alpharma 850 mg C/30,Alpharma,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
118,RELLENAR,A,2,50,BUTILHIOSCINA 10 MG 10 TABLETAS,10mg,10,tableta,Analgésicos,Analgesia,29.0,5,8,EQ-BIO002,Biomesina 10 tab 10 mg,Biomep,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
119,RELLENAR,A,4,1093,LORATADINA / AMBROXOL 100/600 MG SOLUCION PEDIATRICA GOTAS 30 ML 1 PIEZA,30ml 600mg,1,solucion,Antigripal,Aparato respiratorio,29.0,6,10,FC-09740657,Laritol EX (Loratadina/Ambroxol) 100-600 mg/100 mL,Maver,2,95,principios activos completos; concentracion coincide
120,RELLENAR,A,4,325,DIMENHIDRINATO 50 MG 12 CAPSULAS,50mg,12,capsula,Funcionamiento gastrointestinal,Funcionamiento gastrointestinal,28.0,5,8,FC-03388107,Vomisin (Dimenhidrinato) 50 mg,Rayere,1,76,principios activos completos; concentracion coincide; cantidad difiere 20≠12; forma difiere tableta≠capsula; nombre parecido (83/67)
121,RELLENAR,A,3,142,METRONIDAZOL 500 MG 30 TABLETAS,500mg,30,tableta,Antiparasitario,Medicamentos,28.0,6,10,EQ-RAD093,Metronidazol 30 Tab 500 Mg,Randall,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (92/67)
122,RELLENAR,A,5,295,AMBROXOL 7.5 MG SOLUCION GOTAS 30 ML 1 PIEZA,30ml 7.5mg,1,solucion,Aparato respiratorio,Aparato respiratorio,27.0,6,10,EQ-BIO112,Gristalit 1 Jbe 600/100mg/30 Ml,BIOMEP,1,70,solo 1/2 principios activos; concentracion coincide; forma difiere jarabe≠solucion; equivalente PA+concentración+forma
123,RELLENAR,A,5,209,AMBROXOL SOLUCION 120 ML 1 PIEZA,120ml,1,solucion,Aparato respiratorio,Aparato respiratorio,27.0,6,10,FC-4F737E93,Cloxan,Cloxan,1,100,principios activos completos; concentracion coincide; forma coincide
124,RELLENAR,A,1,53,CAPTOPRIL 25 MG 30 TABLETAS,25mg,30,tableta,Antihipertensivo,Medicamentos,27.0,6,10,FC-82F88FED,Captopril,Ultra,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/50)
125,RELLENAR,A,5,1474,CLOTRIMAZOL 1/100GR 30GR CREMA,100000mg 30000mg,,crema,Antimicótico,Medicamentos,27.0,6,10,EQ-BIO138,Lozamir-C 1 Cma,Biomep,1,100,principios activos completos; concentracion coincide; forma coincide
126,RELLENAR,A,3,656,PARACETAMOL / CAFEINA 500/50MG 20 TABLETAS,50mg,20,tableta,Analgésicos,Analgesia,27.0,6,10,FC-08895219,Portem AS paracetamol/cafeína 500/50 mg C/20,Portem AS,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
127,RELLENAR,A,4,21,AMBROXOL 30 MG 20 COMPRIMIDOS,30mg,20,tableta,Aparato respiratorio,Medicamentos,25.0,6,10,FC-1DA570E3,Cloxan ambroxol 30 mg,Cloxan,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (80/56)
128,RELLENAR,A,3,315,KETOROLACO 10 MG  10 TABLETAS,10mg,10,tableta,Analgésicos,Medicamentos,25.0,6,10,EQ-MAV043,Lorotec Ketorolaco,Maver,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
129,RELLENAR,A,5,289,CLORFENAMINA 50MG/100ML JARABE 120 ML 1 PIEZA,100ml 120ml 50mg,1,jarabe,Antialérgico,Medicamentos,24.0,6,10,EQ-SON112,Ridin Adulto jarabe dextrometorfano/guaifenesina/clorfenamina 120 mL,Son's,1,70,solo 1/3 principios activos; concentracion coincide; forma coincide; equivalente PA+concentración+forma
130,RELLENAR,A,1,2501,AGRIFEN PARACETAMOL 500 MG / CAFEINA 25 MG / FENILEFRINA 5 MG / CLORFENAMINA 4 MG 10 TABLETAS,25mg 4mg 500mg 5mg,10,tableta,Antigripal,Aparato respiratorio,23.0,6,10,FC-25116810,Agrifen,Agrifen,5,80,principios activos completos; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
131,RELLENAR,A,1,1853,IBUPROFENO 400 MG 10 CAPSULAS,400mg,10,capsula,Analgésicos,Analgesia,21.0,6,10,EQ-PGE033,Gelubrín 10 Caps 400 Mg,Gelubrín,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
132,RELLENAR,A,5,451,LORATADINA 100MG/100ML SOLUCION 30 ML 1 PIEZA,100mg 100ml 30ml,1,solucion,Antialérgico,Medicamentos,21.0,6,10,EQ-MAV187,Erispan Compuesto 1 Sol 5/100mg/60 Ml,Maver,1,70,solo 1/2 principios activos; concentracion coincide; forma coincide; equivalente PA+concentración+forma
133,RELLENAR,A,2,136,METOCLOPRAMIDA SOLUCION ORAL GOTAS 1 PIEZA,,1,solucion,Funcionamiento gastrointestinal,Medicamentos,21.0,5,8,EQ-NOV005,Cirulan solución oral 400 mg / 20 mL,Novag,3,91,principios activos completos; forma coincide
134,RELLENAR,A,2,397,IBUPROFENO 200 MG 10 CAPSULAS GEL,200mg,10,capsula,Analgésicos,Analgesia,20.0,6,10,FC-36009661,Dualgos (Paracetamol/Ibuprofeno),Liferpal MD,4,70,principios activos completos; concentracion coincide; cantidad difiere 20≠10; forma difiere tableta≠capsula; equivalente PA+concentración+forma
135,RELLENAR,A,2,88,DIFENIDOL 25 MG 30 TABLETAS,25mg,30,tableta,Funcionamiento gastrointestinal,Medicamentos,18.0,5,8,FC-27871416,Raamfen difenidol 25 mg,Raam,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
136,RELLENAR,A,1,115,GLIBENCLAMIDA 5 MG 50 TABLETAS,5mg,50,tableta,Diabetes,Medicamentos,16.0,6,10,FC-57925EF3,Reglusan,Reglusan,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
137,RELLENAR,A,1,7,ACIDO ACETILSALICILICO 500 MG 20 TABLETAS,500mg,20,tableta,Analgésicos,Analgesia,15.0,6,10,FC-42803524,Ácido acetilsalicílico 100 mg Caja con 30 tabletas beadvance,beadvance,5,82,sin identidad comprobable; nombre muy parecido (91/77)
138,RELLENAR,A,2,110,FUROSEMIDA 40 MG 20 TABLETAS,40mg,20,tableta,Antihipertensivo,Medicamentos,13.0,6,10,FC-E535DE28,Diurmessel,Diurmessel,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
139,RELLENAR,A,1,137,METOCLOPRAMIDA 10 MG 20 TABLETAS,10mg,20,tableta,Funcionamiento gastrointestinal,Medicamentos,13.0,5,8,FC-63310269,Metoclopramida 10 mg C/20 tabletas,Bioresearch,4,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (97/97)
140,RELLENAR,A,1,133,METAMIZOL 500MG 10 COMPRIMIDOS,500mg,10,tableta,Analgésicos,Medicamentos,11.0,6,10,FC-50002301,Neo-Melubrina metamizol tabletas C/10,Neo-Melubrina,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
141,RELLENAR,A,4,265,CLORFENAMINA 4 MG 20 TABLETAS,4mg,20,tableta,Antialérgico,Medicamentos,10.0,6,10,EQ-BIO021,Docsi Clorfenamina,Biomep,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (80/51)
142,RELLENAR,INY,1,222,CEFTRIAXONA SOLUCION INYECTABLE 1 GR  1 AMPOLLETA,1000mg,1,solucion,Antibiótico,Medicamentos,79.0,2,3,FC-C636D8EA,Ceftriaxona IM 1 g (Inyectable),Ceftriaxona,1,82,principios activos completos; concentracion coincide; cantidad coincide; forma difiere inyectable≠solucion; nombre muy parecido (91/62)
143,RELLENAR,INY,1,1458,ALGESTONA / ESTRADIOL SOLUCION INYECTABLE 1 ML 1 AMPOLLETA,1ml,1,solucion,Anticonceptivo,Medicamentos,54.0,2,3,FC-830BF3FB,Diviltac,Diviltac,1,100,principios activos completos; concentracion coincide; cantidad coincide
144,RELLENAR,INY,1,111,GENTAMICINA 160MG/2ML SOLUCION INYECTABLE 5 AMPOLLETA,160mg 2ml,5,solucion,Antibiótico,Medicamentos,48.0,2,3,FC-49026377,Gentamicina 160 mg solución inyectable 2 ml AMSA,,1,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (81/83)
145,RELLENAR,INY,1,749,BETAMETASONA 8MG/2MLSOLUCION INYECTABLE 1 AMPOLLETA,8mg,1,inyectable,Antiinflamatorio,Medicamentos,37.0,2,3,FC-50AC2C82,Erispan,Erispan,1,100,principios activos completos; concentracion coincide; cantidad coincide
146,RELLENAR,INY,1,1820,MECLOZINA / PIRIDOXINA SOLUCION INYECTABLE 1 AMPOLLETA,,1,solucion,Funcionamiento gastrointestinal,Medicamentos,26.0,2,3,EQ-SON092,Meclison 1 Got 15 Ml,SON'S,1,91,principios activos completos; forma coincide
147,RELLENAR,INY,1,238,METAMIZOL 1 GR SOLUCION INYECTABLE 3 AMPOLLETAS,1000mg,3,solucion,Analgésicos,Medicamentos,20.0,2,3,EQ-SON264,Laur Solución Inyectable,SON'S,1,82,"solo 1/5 principios activos; concentracion difiere ['100mg', '30mg', '4mg', '500mg']≠['1000mg']; cantidad coincide; forma coincide; nombre muy parecido (88/62)"
148,RELLENAR,INY,1,412,GENTAMICINA 160MG/2ML SOLUCION INYECTABLE 1 AMPOLLETA,160mg 2ml,1,solucion,Antibiótico,Medicamentos,19.0,2,3,FC-49026377,Gentamicina 160 mg solución inyectable 2 ml AMSA,,1,100,principios activos completos; concentracion coincide; forma coincide
149,RELLENAR,INY,1,234,GENTAMICINA 80MG/2ML SOLUCION INYECTABLE 1 AMPOLLETA,2ml 80mg,1,solucion,Antibiótico,Medicamentos,18.0,2,3,FC-49026377,Gentamicina 160 mg solución inyectable 2 ml AMSA,,1,100,principios activos completos; concentracion coincide; forma coincide
150,RELLENAR,CUR,6,3030,CLORURO DE SODIO 0.9% SOLUCION INYECTABLE 250 ML 1 PIEZA,250ml,1,solucion,Material de curación,"Higiene, curación y diagnóstico",22.0,6,10,FC-25100116,Solucion CS PiSA cloruro de sodio 0.9% 250 mL,PiSA,0,100,principios activos completos; concentracion coincide; forma coincide; nombre muy parecido (90/55)
151,RELLENAR,B,1,2850,MINOXIDIL SOLUCION 5GR/100ML 60 ML 1 PIEZA,100ml 5000mg 60ml,1,solucion,Dermatológico,Cuidado de la piel y belleza,249.0,2,4,EQ-QUI139,Agecaps minoxidil hombre 5% solución 60 mL,Agecaps,1,100,principios activos completos; concentracion coincide; forma coincide
152,RELLENAR,B,1,3831,SITAGLIPTINA 100MG 14 COMPRIMIDOS,100mg,14,tableta,Diabetes,Medicamentos,249.0,2,4,EQ-AMS503,Sitagliptina 14 Comp 100 Mg,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (83/70)
153,RELLENAR,B,1,2977,ATORVASTATINA 20 MG PFIZER 30 TABLETAS,20mg,30,tableta,Hipolipemiante,Medicamentos,239.0,2,4,EQ-LAN057,Bacat Atorvastatina 20 mg C/30 Landsteiner,Landsteiner,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
154,RELLENAR,B,1,2023,MINOCICLINA 100 MG 10 CAPSULAS,100mg,10,capsula,Antibiótico,Medicamentos,234.0,2,4,FC-58210379,Minociclina 100 mg C/10 Serral,Serral,1,76,sin identidad comprobable; nombre parecido (80/80)
155,RELLENAR,B,1,3980,ENTEROGERMINA PROBIOTICO CON 2 BILLONES DE UFC 10 AMPOLLETAS DE 5 ML,5ml,2,inyectable,Lactobacilos,Funcionamiento gastrointestinal,229.0,2,4,FC-79807468,Enterogermina 2 billones C/10,Enterogermina,1,82,sin identidad comprobable; nombre muy parecido (91/58)
156,RELLENAR,B,1,3319,TADALAFIL 5MG 14 TABLETAS,5mg,14,tableta,Disfunción eréctil,Medicamentos,229.0,2,4,EQ-DEN074,Tadalafil Delaphil,DLP Pharma,1,70,sin identidad comprobable; equivalente PA+concentración+forma
157,RELLENAR,B,1,708,TERBINAFINA 250 MG 28 TABLETAS,250mg,28,tableta,Antimicótico,Medicamentos,229.0,2,4,FMX-301081,Hudiclor Tabletas 250 Mg C/28,COLLINS,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
158,RELLENAR,B,1,3334,MICRODACYN SOLUCION ANTISEPTICA SPRAY 120 ML 1 PIEZA,120ml,1,solucion,Material de curación,"Higiene, curación y diagnóstico",227.0,2,4,FC-06698316,Microdacyn 60 solución antiséptica 120 ml,Microdacyn,1,82,sin identidad comprobable; nombre muy parecido (96/82)
159,RELLENAR,B,1,2819,PREDNISOLONA 1MG/1ML SOLUCION 100 ML 1 PIEZA,100ml 1mg 1ml,1,solucion,Antiinflamatorio,Medicamentos,219.0,2,4,EQ-QUM068,Quimunex 1 Sol 100 Mg/100 Ml,Quimpharma,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
160,RELLENAR,B,1,3826,ESOMEPRAZOL 40 MG 14 TABLETAS,40mg,14,tableta,Funcionamiento gastrointestinal,Medicamentos,199.0,2,4,EQ-MAV380,Esomeprazol 14 Tab 40 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (91/68)
161,RELLENAR,B,1,2888,ETORICOXIB 90 MG 28 COMPRIMIDOS,90mg,28,tableta,Antiinflamatorio,Medicamentos,199.0,2,4,EQ-AMS460,Etoricoxib 14 Comp 90 Mg,AMSA,1,76,principios activos completos; concentracion coincide; cantidad difiere 14≠28; forma coincide; nombre parecido (80/62)
162,RELLENAR,B,1,810,FINASTERIDA 5 MG 30 TABLETAS,5mg,30,tableta,Medicamentos éticos,Medicamentos,199.0,2,4,EQ-ACC066,Steryx 30 Tab 5 Mg,Accord,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
163,RELLENAR,B,1,2616,HIALURONATO DE SODIO 4MG/ML SOLUCION OFTALMICA 1 PIEZA,4mg,1,solucion,Oftalmológico,Medicamentos,199.0,2,4,FC-A2B284E0,Hialuronato De Sodio 4Mg,Hialuronato,1,82,principios activos completos; concentracion coincide; forma difiere gotas≠solucion; nombre muy parecido (91/62)
164,RELLENAR,B,1,1865,MONTELUKAST 10 MG 20 TABLETAS,10mg,20,tableta,Aparato respiratorio,Medicamentos,199.0,2,4,FMX-507495,Senloir Tabletas 10 Mg C/20,COLLINS,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
165,RELLENAR,B,1,3828,NORFLOXACINO / FENAZOPIRIDINA 400/100MG 16 TABLETAS,100mg,16,tableta,Antibiótico,Medicamentos,199.0,2,4,FC-27879559,JULAB norfloxacino/fenazopiridina 400/100 mg C/8,RAAM,1,76,principios activos completos; concentracion coincide; cantidad difiere 8≠16; forma coincide
166,RELLENAR,B,1,682,CEFUROXIMA 500 MG 10 TABLETAS,500mg,10,tableta,Antibiótico,Medicamentos,195.0,2,4,EQ-MAV228,Cefagen 10 Tab 500 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
167,RELLENAR,B,1,1899,DIOSMINA 600 MG 15 COMPRIMIDOS,600mg,15,tableta,Flebotónico,Medicamentos,191.0,2,4,EQ-WER046,Mevedim 15 Tab 600 Mg,Wermar,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
168,RELLENAR,B,1,800,LAMOTRIGINA 100 MG TABLETAS MASTICABLES 28 TABLETAS,100mg,28,tableta,Anticonvulsivo,Medicamentos,190.0,2,4,FC-9ABFB996,Elaphteron,Elaphteron,1,76,principios activos completos; concentracion coincide; cantidad difiere 20≠28; forma coincide
169,RELLENAR,B,1,4,ACICLOVIR 400 MG 35 TABLETAS,400mg,35,tableta,Antiviral,Medicamentos,179.0,2,4,FC-FD845E68,Aciclovir,Aciclovir,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/49)
170,RELLENAR,B,1,3894,DROPROPIZINA / BROMHEXINA 0.300/0.160GR 200ML SOLUCION ADULTO,160mg 200ml,,solucion,Aparato respiratorio,Medicamentos,179.0,2,4,FC-AA7B0686,Drosequim Adulto jarabe 300/160 mg 200 ml,Quimpharma,1,70,principios activos completos; concentracion coincide; forma difiere jarabe≠solucion
171,RELLENAR,B,1,102,FLUCONAZOL 100 MG 10 CAPSULAS,100mg,10,capsula,Antimicótico,Medicamentos,179.0,2,4,FC-LV-AMS495,Fluconazol 10 cáps 100 mg,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (93/67)
172,RELLENAR,B,1,2115,PREGABALINA 150 MG PFIZER 28 CAPSULAS,150mg,28,capsula,Medicamentos éticos,Medicamentos,179.0,2,4,EQ-AMS234,Pregabalina 28 Cáps 150 mg AMSA,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (81/65)
173,RELLENAR,B,1,366,CALCITRIOL  0.25MCG 50 CAPSULAS,0.25mcg,50,capsula,Huesos y articulaciones,Medicamentos,170.0,2,4,EQ-PGE052,Ercatriv M Calcitriol 30 Caps 0.25 Mcg,PROGELA,1,76,principios activos completos; concentracion coincide; cantidad difiere 30≠50; forma coincide
174,RELLENAR,B,1,2664,EZETIMIBA / SIMVASTATINA 10/20MG 14 COMPRIMIDOS,20mg,14,tableta,Hipolipemiante,Medicamentos,169.0,2,4,EQ-AMS274,Ezetimiba/Simvasta 14 Tab 10/20 Mg,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
175,RELLENAR,B,1,491,CLARITROMICINA 250MG/5ML SUSPENSION 1 PIEZA,250mg 5ml,1,suspension,Antibiótico,Medicamentos,166.0,2,4,FC-8FB65B79,Klarix,Klarix,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
176,RELLENAR,B,1,2731,ACETILCISTEINA 600 MG 20 TABLETAS EFERVESCENTES,600mg,20,tableta,Aparato respiratorio,Aparato respiratorio,164.0,2,4,EQ-SER183,Murreolak Acetilcisteína,Serral,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
177,RELLENAR,B,1,1916,BUDESONIDA SUSPENSION 0.500MG/2ML O 0.250MG/ML SUSPENSION PARA NEBULIZACION 5 AMPOLLETAS,0.25mg 0.5mg 2ml,5,suspension,Aparato respiratorio,Medicamentos,164.0,2,4,EQ-NOV165,Budenova Susp .125 Mg/Ml 5 Amp 2ml,Novag,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
178,RELLENAR,B,1,628,CEFACLOR 375MG/5ML SUSPENSION 50 ML 1 PIEZA,375mg 50ml 5ml,1,suspension,Antibiótico,Medicamentos,159.0,2,4,FC-01B2F362,Fasiclor 250 mg/ 5 mL,Fasiclor,1,100,principios activos completos; concentracion coincide; forma coincide
179,RELLENAR,B,1,1479,DEFLAZACORT 30 MG 10 TABLETAS,30mg,10,tableta,Antiinflamatorio,Medicamentos,159.0,2,4,EQ-MAV320,Cariden 10 Tab 30 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
180,RELLENAR,B,1,2369,IRBESARTAN / HIDROCLOROTIAZIDA 150/12.5MG 14 TABLETAS,12.5mg,14,tableta,Antihipertensivo,Medicamentos,159.0,2,4,FC-42700643,Irbesartán + HCTZ 150/12.5 mg 28 tabletas Camber,Camber,1,76,principios activos completos; concentracion coincide; cantidad difiere 28≠14; forma coincide
