sku,nombre,tipo,costo,precio_fc,precio_similares,confianza,nombre_similares,termino,razones,tenia_ref,sim_previo,stock,cant_fc,cant_sim
EQ-AMS318,Losartan AMSA 30 comprimidos 50 mg,generico,11.9,20.0,66.0,100,LOSARTAN POTASICO 50MG 30 TABLETAS,losartan potasico 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,0,30,30
EQ-ALP0634,Losartan Alpharma 30 tab 50 mg,generico,11.08,18.0,66.0,100,LOSARTAN POTASICO 50MG 30 TABLETAS,losartan potasico 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,0,30,30
EQ-BIO138,Lozamir-C 1 Cma,generico,15.08,25.0,27.0,100,CLOTRIMAZOL 1/100GR 30GR CREMA,clotrimazol,principios activos completos; concentracion coincide; forma coincide,False,,1.0,,
FC-73906407,Lozamir-V (Clotrimazol) crema 2% con 3 aplicadores,generico,22.71,37.0,49.0,100,CLOTRIMAZOL 2/100GR 20GR CREMA VAGINAL,clotrimazol,principios activos completos; concentracion coincide; forma coincide,True,49.0,3.0,3,
FC-09745539,Lumboxen gel (Naproxeno/Lidocaína),generico,39.54,64.0,43.0,100,NAPROXENO/LIDOCAINA 10G/2G GEL TOPICO 35GR,naproxeno lidocaina 10000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,43.0,2.0,,
FC-27427392,ML-PRIM metocarbamol/ibuprofeno C/12,generico,47.28,76.0,58.0,100,METOCARBAMOL / IBUPROFENO 375/200MG 12 CAPSULAS,metocarbamol ibuprofeno 200mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,True,58.0,1.0,12,12
EQ-MAI152,"Mavifem Clindamicina, Ketoconazol",generico,68.5,110.0,99.0,100,CLINDAMICINA / KETOCONAZOL 2/8 GR CREMA 30 GR 1 PIEZA,clindamicina ketoconazol 30000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,99.0,2.0,,1
EQ-MAI150,Maviglin 60 Grag 500/5 Mg,generico,61.53,99.0,58.0,100,METFORMINA / GLIBENCLAMIDA 500/5MG 60 TABLETAS,metformina glibenclamida 5mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,60,60
FMX-303280,Melnotex Tabletas 5 Mg C/20,generico,39.74,64.0,91.0,100,MELATONINA 5MG 20 TABLETAS SUBLINGUALES,melatonina 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,91.0,2.0,20,20
EQ-BEA429,Metformina 30 Tab 850 Mg,generico,14.27,23.0,30.0,100,METFORMINA 850 MG 30 TABLETAS,metformina 850mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,30.0,4.0,30,30
EQ-BEA416,Metoclopramida 20 Tab 10 Mg,generico,5.42,9.0,13.0,100,METOCLOPRAMIDA 10 MG 20 TABLETAS,metoclopramida 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,13.0,1.0,20,20
EQ-BEA424,Metoprolol 20 Tab 100mg,generico,6.86,11.0,29.0,100,METOPROLOL 100 MG 20 TABLETAS,metoprolol 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,29.0,2.0,20,20
EQ-RAD093,Metronidazol 30 Tab 500 Mg,generico,14.92,24.0,28.0,100,METRONIDAZOL 500 MG 30 TABLETAS,metronidazol 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,28.0,3.0,30,30
EQ-WER046,Mevedim 15 Tab 600 Mg,generico,61.32,99.0,191.0,100,DIOSMINA 600 MG 15 COMPRIMIDOS,diosmina 600mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,191.0,1.0,15,15
FMX-301546,Montelukast-Neolpharma Tabletas 5 Mg C/20,generico,41.21,66.0,99.0,100,MONTELUKAST 5 MG 20 TABLETAS MASTICABLES,montelukast 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,99.0,1.0,20,20
FC-01162365,Mornin (Omeprazol) 40 mg C/7 SON'S,generico,13.95,25.0,74.0,100,OMEPRAZOL 40 MG 7 CAPSULAS,omeprazol 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,74.0,2.0,7,7
FC-06920021,Motilaxil-T (Picosulfato de sodio) 5 mg,generico,17.02,28.0,34.0,100,PICOSULFATO DE SODIO 5 MG 20 TABLETAS,picosulfato sodio 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,34.0,1.0,20,20
FC-73902966,Nafich (Terbinafina) crema 1%,generico,13.06,21.0,34.0,100,TERBINAFINA CLORHIDRATO CREMA 15 GR 1 PIEZA,terbinafina,principios activos completos; concentracion coincide; forma coincide,True,34.0,2.0,,1
EQ-BRU053,Nediclon Diclofenaco,generico,7.56,13.0,35.0,100,DICLOFENACO 100MG 20 TABLETAS,diclofenaco 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,35.0,4.0,20,20
EQ-BEA368,Nifedipino 30 Comp 30 Mg,generico,39.23,63.0,78.0,100,NIFEDIPINO 30 MG 30 COMPRIMIDOS LIBERACION PROLONGADA,nifedipino 30mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,78.0,1.0,30,30
FMX-502376,Norapred Tabletas 50 Mg C/20,generico,34.77,56.0,60.0,100,PREDNISONA 50 MG 20 TABLETAS,prednisona 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,60.0,1.0,20,20
EQ-COL133,Nosipren 30 Tab 20 Mg,generico,35.71,58.0,149.0,100,PREDNISONA 20 MG 30 TABLETAS,prednisona 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,30,30
FC-75713770,Novagon polvo sabor natural 400 g,generico,99.1,159.0,154.0,100,PSYLLIUM PLANTAGO POLVO NATURAL 400 GR 1 PIEZA,plantago psyllium 400000mg,principios activos completos; concentracion coincide; forma coincide,True,154.0,1.0,,1
FC-75718676,Novagon psyllium polvo 400 g,generico,97.1,156.0,154.0,100,PSYLLIUM PLANTAGO POLVO NATURAL 400 GR 1 PIEZA,plantago psyllium 400000mg,principios activos completos; concentracion coincide; forma coincide,True,154.0,1.0,,1
FC-82200016,Omeprazol Aktyzar,generico,46.79,75.0,147.0,100,OMEPRAZOL 20 MG 120 CAPSULAS,omeprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,147.0,2.0,120,120
FC-16803800,Omeprazol Avivia,generico,26.82,59.0,119.0,100,OMEPRAZOL 20 MG 60 CAPSULAS,omeprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,119.0,2.0,60,60
FC-09745584,Oppelver lactulosa jarabe 125 mL,generico,49.25,79.0,89.0,100,LACTULOSA JARABE 120ML O 125ML 10GR/15ML 1 PIEZA,lactulosa,principios activos completos; concentracion coincide; forma coincide,True,89.0,1.0,,1
EQ-MAV198,Oxatech 14 Tab 10 Mg,generico,26.46,8.27,149.0,100,OLANZAPINA 10 MG 14 TABLETAS,olanzapina 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,3.0,14,14
EQ-SER093,Oxital-C 1 G,generico,45.14,73.0,51.0,100,ACIDO ASCORBICO 1 GR SABOR NARANJA 10 TABLETAS EFERVESCENTES,acido ascorbico 1000mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,51.0,3.0,10,10
EQ-AMS292,Pantoprazol 7 Tab 20 Mg,generico,11.29,19.0,46.0,100,PANTOPRAZOL 20 MG 7 TABLETAS LIBERACION RETARDADA,pantoprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,46.0,2.0,7,7
EQ-LOE066,Pensodil-S 5 Sup 200/100 Mg,generico,37.16,60.0,36.0,100,NAPROXENO SODICO/PARACETAMOL 100MG/200MG 5 SUPOSITORIOS,naproxeno paracetamol 100mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,5,5
EQ-AMS370,Pentoxifilina 30 Tab 400 Mg,generico,59.39,96.0,87.0,100,PENTOXIFILINA 400 MG 30 TABLETAS LIBERACION PROLONGADA,pentoxifilina 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,87.0,1.0,30,30
FC-26291475,Pharmafil LP (Teofilina) 100 mg liberación prolongada,generico,36.02,58.0,44.0,100,TEOFILINA 100 MG 20 TABLETAS LIBERACION PROLONGADA,teofilina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,44.0,1.0,20,20
EQ-SON204,Phendex Otico 1 Susp 2/10/50mg/10 Ml,generico,30.6,49.0,63.0,100,CIPROFLOXACINO / HIDROCORTISONA / LIDOCAINA SUSPENSION OTICA 10 ML 1 PIEZA,ciprofloxacino hidrocortisona 10ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,63.0,2.0,,1
FC-16798878,Pioglitazona 30 mg 7 tabletas LGEN,generico,17.76,45.0,85.0,100,PIOGLITAZONA 30 MG 7 TABLETAS,pioglitazona,concentracion coincide; cantidad coincide; forma coincide,False,,0,7,7
FC-49024175,Pioglitazona 30 mg AMSA,generico,18.36,30.0,85.0,100,PIOGLITAZONA 30 MG 7 TABLETAS,pioglitazona 30mg,principios activos completos; concentracion coincide,True,85.0,2.0,,7
EQ-NOV176,Pirinovag 10 Tab 500 Mg,generico,7.18,12.0,11.0,100,METAMIZOL 500MG 10 COMPRIMIDOS,metamizol sodico 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,5.0,10,10
EQ-AMS498,Popram 28 Tab 40 Mg,generico,37.54,61.0,220.0,100,PANTOPRAZOL 40 MG 28 TABLETAS,pantoprazol 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,28,28
EQ-AMS279,Popram pantoprazol 40 mg C/14,generico,26.26,43.0,139.0,100,PANTOPRAZOL 40MG 14 GRAGEAS,pantoprazol 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,14,14
EQ-IFA001,Postday 1 Comp 1.5 Mg,generico,61.32,99.0,65.0,100,LEVONORGESTREL  1.5 MG 1 TABLETA,levonorgestrel,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,65.0,1.0,1,1
EQ-BEA338,Prednisona 5mg C/Blister 20tab Bea,generico,6.51,11.0,21.0,100,PREDNISONA 5 MG 20 TABLETAS,prednisona 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,21.0,5.0,20,20
EQ-AMS234,Pregabalina 28 Cáps 150 mg AMSA,generico,65.67,105.0,119.0,100,PREGABALINA 150 MG 28 CAPSULAS,pregabalina 150mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,28,28
FC-49025967,Pregabalina 75 mg C/14 AMSA,generico,25.09,41.0,74.0,100,PREGABALINA 75MG 14 CAPSULAS,pregabalina 75mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,74.0,1.0,14,14
EQ-MAV064,Presistín 30 Tab 10 Mg,generico,33.93,55.0,71.0,100,CISAPRIDA 10 MG 30 TABLETAS,cisaprida 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,71.0,1.0,30,30
EQ-WER040,Punab 30 Tab 50 Mg,generico,12.33,20.0,66.0,100,LOSARTAN POTASICO 50MG 30 TABLETAS,losartan 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,3.0,30,30
EQ-BEA468,Quetiapina,generico,123.31,198.0,299.0,100,QUETIAPINA 100 MG 60 TABLETAS,quetiapina 100mg,principios activos completos; concentracion coincide; cantidad coincide,True,299.0,1.0,60,60
EQ-QUM052,Quimikan 1 Sol C/ Apli 10 Ml 200mg/ 1 Ml,generico,63.68,102.0,117.0,100,BENZOCAINA 200 MG SOLUCION BUCAL CON APLICADOR 1 PIEZA,benzocaina,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,1,1
FC-27872123,Raamcinet cetirizina 10 mg,generico,19.65,32.0,60.0,100,CETIRIZINA 10 MG 10 TABLETAS,cetirizina 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,60.0,4.0,10,10
FC-27871416,Raamfen difenidol 25 mg,generico,15.49,25.0,18.0,100,DIFENIDOL 25 MG 30 TABLETAS,difenidol 25mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,18.0,3.0,30,30
FC-11165726,Raspisons unguento neomicina/retinol 28 g,generico,19.61,32.0,31.0,100,NEOMICINA / RETINOL (VITAMINA A) UNGÜENTO 28 GR 1 PIEZA,neomicina retinol 28000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,31.0,1.0,,1
EQ-LIF153,Realdrax Mxd 10 Tab 20/400 Mg,generico,40.6,65.0,76.0,100,BUTILHIOSCINA HIOSCINA / IBUPROFENO 20/400 MG 10 TABLETAS,hioscina ibuprofeno 400mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,10,10
EQ-SAN025,Revenox 60 Tab 3 Mg,generico,72.13,116.0,94.0,100,MELATONINA 3 MG 60 TABLETAS ORALES,melatonina 3mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,94.0,1.0,60,60
FC-01165953,Rexurdir nifuroxazida 400 mg C/16,generico,29.92,48.0,56.0,100,NIFUROXAZIDA 400 MG 16 CAPSULAS,nifuroxazida 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,56.0,2.0,16,16
EQ-LOE135,Rosanil 7 Tab 500 Mg,generico,51.43,83.0,69.0,100,NITAZOXANIDA 500 MG 7 TABLETAS,nitazoxanida 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,7,7
EQ-WER025,"Rosel Amantadina, Clorfenamina, Paracetamol",generico,28.12,44.0,33.0,100,AMANTADINA / CLORFENAMINA / PARACETAMOL 24 CAPSULAS,amantadina clorfenamina,principios activos completos; equivalente generico verificado por composicion; cantidad coincide; forma coincide,False,,5.0,24,24
EQ-VIT055,Rotumal Gel,generico,22.93,37.0,42.0,100,DICLOFENACO 1.16G/100G 60GR GEL,diclofenaco,principios activos completos; concentracion coincide; forma coincide,False,,2.0,,
FC-73909859,Sarox (Omeprazol) 20 mg,generico,15.61,25.0,84.5,100,OMEPRAZOL 20 MG 28 CAPSULAS,omeprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,84.5,4.0,28,28
EQ-AMS323,Sertralina 14 Tab 50 Mg,generico,20.6,33.0,84.5,100,SERTRALINA 50 MG 14 TABLETAS,sertralina 50mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,84.5,3.0,14,14
EQ-AMS503,Sitagliptina 14 Comp 100 Mg,generico,87.57,141.0,249.0,100,SITAGLIPTINA 100MG 14 COMPRIMIDOS,sitagliptina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,249.0,1.0,14,14
EQ-AVT216,Soltadol 10 Tab 750 Mg,generico,5.04,9.0,18.0,100,PARACETAMOL 750MG 10 TABLETAS,paracetamol 750mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,5.0,10,10
EQ-SON256,Sonblefan S 1 Cma .100 G/ 40 G,generico,32.41,52.0,79.0,100,BETAMETASONA 0.1% VALERATO CREMA 40 GR 1 PIEZA,betametasona,principios activos completos; concentracion coincide; forma coincide,True,79.0,1.0,,1
EQ-ACC066,Steryx 30 Tab 5 Mg,generico,40.51,65.0,199.0,100,FINASTERIDA 5 MG 30 TABLETAS,finasterida 5mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,199.0,1.0,30,30
EQ-BEA403,Tamsulosina 20 Caps 0.4 Mg,generico,32.12,52.0,99.0,100,TAMSULOSINA 0.40MG 20 CAPSULAS,tamsulosina,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,99.0,1.0,20,20
FC-88915491,Tarmin 2 Mg /12,generico,6.37,18.0,12.5,100,LOPERAMIDA 2 MG 12 TABLETAS,loperamida 2mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,88.0,8.0,12,12
EQ-ULT224,Telmisartán / Hidroclorotiazida 80/12.5 mg C/14,generico,47.18,76.0,133.0,100,TELMISARTAN / HIDROCLOROTIAZIDA 80 /12.5 MG 14 TABLETAS,telmisartan hidroclorotiazida 12.5mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,True,133.0,3.0,14,14
EQ-HIS075,Terfhicid 40 Caps 100 Mg,generico,46.05,74.0,79.0,100,NITROFURANTOINA 100 MG 40 CAPSULAS,nitrofurantoina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,79.0,1.0,40,40
FC-88579615,Topron nifuroxazida 400 mg C/16,generico,153.47,208.0,56.0,100,NIFUROXAZIDA 400 MG 16 CAPSULAS,nifuroxazida 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,56.0,1.0,16,16
FC-86A95D07,Tropharma Eitromicina 500 mg,generico,44.53,61.0,62.0,100,ERITROMICINA 500 MG 20 TABLETAS,eritromicina 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,62.0,2.0,20,20
EQ-MAI078,Urezol 20 Tab 100 Mg,generico,33.46,54.0,27.0,100,FENAZOPIRIDINA 100 MG 20 TABLETAS,fenazopiridina 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,27.0,1.0,20,20
FC-01007199,Valclan 500 mg / 125 mg Caja con 10 tabletas Wandel,generico,18.03,27.0,95.0,100,AMOXICILINA / ACIDO CLAVULANICO 500 MG 10 TABLETAS,amoxicilina acido 125mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,True,95.0,3.0,10,10
FC-01007250,Valclan 875 mg / 125 mg Caja con 10 tabletas Wandel,generico,51.18,80.0,99.0,100,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,amoxicilina acido 125mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,True,99.0,3.0,10,10
EQ-WAN013,Vandix 1 Susp 250mg/5/75 Ml,generico,20.58,33.0,34.0,100,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,amoxicilina 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,34.0,1.0,1,1
EQ-MAV307,Veratrin,generico,33.36,54.0,83.0,100,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,betametasona indometacina,principios activos completos; equivalente generico verificado por composicion; cantidad coincide; forma coincide,False,,1.0,20,20
FC-09747366,Veridex ivermectina 6 mg C/4,generico,75.46,95.0,101.0,100,IVERMECTINA 6 MG 4 TABLETAS,ivermectina 6mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,101.0,1.0,4,4
EQ-NOV025,Vermisen 6 Tab 200 Mg,generico,12.38,20.0,13.0,100,ALBENDAZOL 200 MG 6 TABLETAS,albendazol 200mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,13.0,1.0,6,6
EQ-MAV208,Versalver 30 Comp 80 Mg,generico,76.3,123.0,124.0,100,VALSARTAN 80 MG 30 COMPRIMIDOS,valsartan 80mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,30,30
EQ-SOF041,Vixgoplisol 60 Tab 500 Mg,generico,112.04,180.0,379.0,100,LEVETIRACETAM 500 MG 60 TABLETAS,levetiracetam 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,379.0,1.0,60,60
EQ-COL239,Volfenac Gel,generico,48.65,78.0,42.0,100,DICLOFENACO 1.16G/100G 60GR GEL,diclofenaco,principios activos completos; concentracion coincide; forma coincide,False,,1.0,,
FC-52D2A43A,Zukedib glimepirida 2 mg C/30,generico,29.08,40.0,63.0,100,GLIMEPIRIDA 2 MG 30 TABLETAS,glimepirida 2mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,63.0,1.0,30,30
FC-24901059,beadvance Senósidos A-B 8.6 mg,generico,11.14,18.0,54.0,100,SENOSIDOS AB 8.6MG 60 TABLETAS,senosidos 8.6mg,principios activos completos; concentracion coincide; forma coincide,True,54.0,2.0,,60
FC-42803524,Ácido acetilsalicílico 100 mg Caja con 30 tabletas beadvance,generico,14.85,24.0,24.0,100,ACIDO ACETILSALICILICO 100MG ADULTO 30 COMPRIMIDOS,acido acetilsalicilico 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,24.0,5.0,30,30
FC-49020269,Ácido ursodeoxicólico 250 mg Caja con 50 cápsulas AMSA,generico,217.23,333.0,339.0,100,ACIDO URSODEOXICOLICO 250 MG 50 CAPSULAS,acido ursodeoxicolico 250mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,339.0,1.0,50,50
FC-14701957,Adel suspensión 250 mg / 5 mL 60 mL,marca,717.0,1000.0,166.0,100,CLARITROMICINA 250MG/5ML SUSPENSION 1 PIEZA,claritromicina 250mg,principios activos completos; concentracion coincide; forma coincide,False,,1.0,,1
EQ-MAV204,Alderan Losartán 15 tab 100 mg,marca,21.25,34.0,84.5,100,LOSARTAN POTASICO 100 MG 15 TABLETAS,losartan potasico 100mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,0,15,15
FC-16500172,Allegra fexofenadina 180 mg C/10,marca,362.97,436.0,144.0,100,FEXOFENADINA 180 MG PIRQUET 10 COMPRIMIDOS,fexofenadina 180mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,10,10
FC-01166066,Barmicil compuesto crema 40 g,marca,21.08,25.0,32.0,100,BETAMETASONA/GENTAMICINA/CLOTRIMAZOL 40GR CREMA,betametasona clotrimazol 40000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,False,,3.0,,
EQ-BIO002,Biomesina 10 tab 10 mg,marca,13.54,22.0,29.0,100,BUTILHIOSCINA 10 MG 10 TABLETAS,butilhioscina 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,3.0,10,10
FC-99301968,Dafloxen F 100/200 mg supositorios C/5,marca,109.73,176.0,36.0,100,NAPROXENO SODICO/PARACETAMOL 100MG/200MG 5 SUPOSITORIOS,naproxeno paracetamol 200mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,5,5
FC-LV-SIE061,Febrax supositorios caja c/5 100/200 mg,marca,128.75,175.0,36.0,100,NAPROXENO SODICO/PARACETAMOL 100MG/200MG 5 SUPOSITORIOS,naproxeno paracetamol 200mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,5,5
FC-28979502,Histiacil NF adulto jarabe,marca,121.91,165.0,36.0,100,AMBROXOL / DEXTROMETORFANO 225/225MG ADULTO JARABE 1 PIEZA,dextrometorfano ambroxol 150ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,False,,1.0,,1
FC-LV-GNO016,Lomecan Duo 3 óvulos y crema 200 mg,marca,176.1,282.0,69.0,100,CLOTRIMAZOL V 3 OVULOS 200 MG,clotrimazol,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,False,,2.0,3,3
EQ-COL080,Pasmodil 1 Fa 250/20 Mg,marca,32.97,53.0,39.0,100,METAMIZOL SODICO / BUTILHIOSCINA 2.5G/20MG SOLUCION INYECTABLE 1 AMPOLLETA,metamizol sodico 20mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide,False,,2.0,1,1
FC-84095411,Saridon,marca,63.46,86.0,27.0,100,PARACETAMOL / CAFEINA 500/50MG 20 TABLETAS,paracetamol cafeina 500mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide,False,,1.0,20,20
FC-79807468,Enterogermina 2 billones C/10,marca,200.0,250.0,224.0,99,SINUBERASE PROBIOTICOS EN SUSPENSION BACILLUS CLAUSII 4 BILLONES UFC 10 AMPOLLETAS DE 5 ML,bacillus clausii 5ml,principios activos completos; concentracion coincide; cantidad coincide,False,,1.0,10,10
EQ-SON092,Meclison 1 Got 15 Ml,generico,21.2,34.0,29.0,94,MECLIZINA / PIRIDOXINA SOLUCION 8.33/16.66 MG GOTAS 15 ML 1 PIEZA,meclozina piridoxina 15ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,29.0,1.0,,1
EQ-MAV401,Dexpantenol 1 Cma 5% 30 G,generico,14.12,23.0,34.0,92,DEXPANTENOL 5/100GR POMADA 30GR TATUAJES,dexpantenol,principios activos completos; concentracion coincide; forma equivalente crema~unguento,True,34.0,2.0,1,
EQ-PGE059,Lorefic-D 30 Caps 4000 Ui,generico,38.79,63.0,149.0,92,VITAMINA D3 (COLECALCIFEROL) 4000UI 30 TABLETAS MASTICABLES,colecalciferol 4000ui,principios activos completos; concentracion coincide; cantidad coincide; forma equivalente capsula~tableta,True,149.0,1.0,30,30
EQ-ULT191,Piroxicam 20 Tab 20 Mg,generico,9.49,16.0,23.0,92,PIROXICAM 20 MG 20 CAPSULAS,piroxicam 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma equivalente tableta~capsula,True,23.0,3.0,20,20
FC-18754259,Supratex (Levodropropizina) jarabe 120 mL,generico,40.91,66.0,66.0,92,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,levodropropizina 120ml,principios activos completos; concentracion coincide; forma equivalente jarabe~solucion,True,66.0,2.0,,1
FC-1FFBB505,Supratex levodropropizina jarabe 120 mL,generico,40.91,57.0,66.0,92,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,levodropropizina,principios activos completos; concentracion coincide; forma equivalente jarabe~solucion,False,,1.0,,1
FC-03388008,Velatuss levodropropizina jarabe 120 mL,generico,34.55,56.0,66.0,92,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,levodropropizina 120ml,principios activos completos; concentracion coincide; forma equivalente jarabe~solucion,True,66.0,2.0,,1
FC-30042152,Dolac ketorolaco 10 mg C/10 cápsulas,marca,99.73,120.0,25.0,92,KETOROLACO 10 MG  10 TABLETAS,ketorolaco 10mg,principios activos completos; concentracion coincide; cantidad coincide; forma equivalente capsula~tableta,False,,3.0,10,10
FC-40017100,XL-3 VR C/24,marca,88.2,120.0,33.0,92,AMANTADINA / CLORFENAMINA / PARACETAMOL 24 CAPSULAS,paracetamol amantadina,principios activos completos; equivalente generico verificado por composicion; cantidad coincide; forma equivalente tableta~capsula,False,,2.0,24,24
FC-F183C6E9,Penipot bencilpenicilina procainica,generico,19.44,25.28,31.0,91,BENCILPENICILINA BENZATINICA SUSPENSION INYECTABLE 1 PIEZA,bencilpenicilina,principios activos completos; cantidad coincide,True,21.0,6.0,1,1
FC-3A4583F3,Penipot bencilpenicilina procainica,generico,14.07,32.0,31.0,91,BENCILPENICILINA BENZATINICA SUSPENSION INYECTABLE 1 PIEZA,bencilpenicilina,principios activos completos; cantidad coincide,True,21.0,2.0,1,1
FC-070839,Alliviax Garganta C/8 tabletas,generico,24.5,34.0,39.0,90,NAPROXENO SODICO 550 MG 12 TABLETAS,naproxeno sodico 550mg,principios activos completos; concentracion coincide; cantidad difiere 8≠12; forma coincide,True,39.0,1.0,8,12
FC-D5AC44CA,Amifarin,generico,45.78,64.0,43.0,90,DICLOXACILINA 12 CAPSULAS,dicloxacilina,principios activos completos; cantidad difiere 20≠12; forma coincide,True,38.0,2.0,20,12
