sku,nombre,tipo,categoria,marca,laboratorio_inferido,principio_activo,pa_sucio,concentracion,forma_farmaceutica,presentacion,costo,precio,markup_implicito_pct,margen_sobre_venta_pct,regla_markup,regla_markup_pct,piso,ean,ean_clase,ean_nota,precio_similares,precio_fahorro,ref_min,sugerido_min_menos_2,piso_gt_mercado,stock
FC-62746643,Ajolotius Menta Fucal Menta Fucal,marca,GENERAL,Ajolotius,BIOALIMENTOS NAT,,,,,C/10,19.50,31.21,60.1,37.5,sin_clasificar,35,27,7500462746643,gs1_mx,EAN-13 México,31.0,,31.0,31,,1
FC-64EB83AA,Compl,marca,Otro,Bencil/Benz,,,,"1,2 U 3 ML",FRASCO AMPULA,1 FRASCO AMPULA,18.07,23.50,30.0,23.1,sin_clasificar,35,25,,vacio,,,,,,,5
FC-FD845E68,Aciclovir,marca,Otro,Aciclovir,,,,400 MG,TABLETAS,35 TABLETAS,23.68,30.79,30.0,23.1,med_otc_marca,35,32,,vacio,,,334.0,334.0,328,,1
FC-65054135,TUMS,marca,Botiquín,TUMS,,Carbonato de Calcio,,,Surtido,8 TABLETAS,37.48,57.00,52.1,34.2,categoria,50,57,7501065054043,gs1_mx,EAN-13 México,,,,,,1
FC-00661391,Suerox 8 Iones Frutos Rojos 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Frutos Rojos 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400661391,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-00721471,Suerox Vitamins Naranja Mango 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Naranja Mango 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400721471,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-00721541,Suerox Vitamins Manzana V-Limón 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Manzana V-Limón 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400721541,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-00744481,Suerox 8 Iones Coco Piña 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Coco Piña 630 ML,15.50,20.93,35.0,25.9,sin_clasificar,35,21,6502400744481,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-54558682,Nivea Milk Crema corp 400 ML,GENERICO,GENERAL,Nivea,,Emolientes / humectantes,,,Crema,400 ML,22.30,30.11,35.0,25.9,sin_clasificar,35,31,7501054558682,gs1_mx,EAN-13 México,,,,,,1
FC-03430721,Vitacilina 28 Crema,GENERICO,GENERAL,Vitacilina,KSK,Neomicina + Bacitracina zinc,,,CREMA,Crema,38.12,51.47,35.0,25.9,sin_clasificar,35,52,7502250343072,gs1_mx,EAN-13 México,,,,,,1
FC-03406600,Quirmex,marca,Botiquín,Quirmex,QUIRMEX,Vaselina + lanolina,,,Tela adhesiva,,89.70,143.53,60.0,37.5,categoria,50,135,7503003406600,gs1_mx,EAN-13 México,,,,,,45
FC-03405381,Vitacilina Ungüento,GENERICO,GENERAL,Vitacilina,,Neomicina + Bacitracina zinc,,,UNGÜENTO,,23.06,31.14,35.0,25.9,sin_clasificar,35,32,7500225034031,gs1_mx,EAN-13 México,,,,,,1
FC-68910034,Dibar algodón grande,marca,Producto,Dibar,DIBAR,,,,,60 G,10.10,16.16,60.0,37.5,sin_clasificar,35,16,7501868910034,gs1_mx,EAN-13 México,,,,,,1
FC-06257597,Talco Para Pies Rexona Efficient Orig,marca,Higiene,Rexona,,Talco / zinc undecilenato,,,,100 g,40.24,55.00,36.7,26.8,categoria,40,57,7506306257597,gs1_mx,EAN-13 México,,,,,,1
FC-68900226,Alcohol Etilico Rojo 96°,marca,Botiquín,Dibar,,Alcohol etilico,,,Alcohol,250 ML,15.68,24.00,53.1,34.7,categoria,50,24,7501868900226,gs1_mx,EAN-13 México,,,,,,36
FC-06247327,Afrin No Drip extra humectante spray,marca,GENERAL,Afrin,BAYER OTC,,,,,,109.76,175.62,60.0,37.5,sin_clasificar,35,149,7501050624732,gs1_mx,EAN-13 México,,,,,,1
FC-35246309,Vick Drops Tengibre Pastillas Drops Tengibre,marca,Botiquín,Vick,PG OTC,,,,Balsamo,C/20,37.53,60.05,60.0,37.5,categoria,50,57,7500435246309,gs1_mx,EAN-13 México,,,,,,1
FC-68900264,Alcohol Etilico Rojo 96°,marca,Botiquín,Dibar,,Alcohol etilico,,,Alcohol,125 ML,8.10,14.00,72.8,42.1,categoria,50,14,7501868900264,gs1_mx,EAN-13 México,,,,,,48
FC-68901117,Alcohol Etilico Azul 71.6,marca,Botiquín,Dibar,,Alcohol etilico,,,Alcohol,250 ML,11.30,17.00,50.4,33.5,categoria,50,17,7501868901117,gs1_mx,EAN-13 México,,,,,,1
FC-68901124,Alcohol Etilico Azul 71.6,marca,Botiquín,Dibar,,Alcohol etilico,,,Alcohol,500 ML,24.00,45.00,87.5,46.7,categoria,50,36,7501868901124,gs1_mx,EAN-13 México,,,,,,2
FC-68901131,Alcohol Etilico Azul 71.6,marca,Botiquín,Dibar,,Alcohol etilico,,,Alcohol,1 L,41.00,62.00,51.2,33.9,categoria,50,62,7501868901131,gs1_mx,EAN-13 México,,,,,,1
FC-25116810,Agrifen AB polvo efervescente,marca,Otro,Agrifen,LAB PISA,,,,TABLETAS,TABLETAS,19.50,25.35,30.0,23.1,med_otc_marca,35,27,7501125116810,gs1_mx,EAN-13 México,,,,,,1
FC-12225164,Vitacilina Bebé Pomada,marca,GENERAL,Vitacilina,,Neomicina + Bacitracina zinc,,,POMADA,Pomada,53.70,72.50,35.0,25.9,sin_clasificar,35,73,3543122251648,gs1_otro_pais,"EAN-13 válido, prefijo 354 (no 750)",,,,,,1
FC-47640531,Nailex El Recuperador,marca,Cuidado personal,Nailex Pisa,LAB PISA,,,,,Esmalte 15 ML,54.49,80.00,46.8,31.9,categoria,40,77,7502234764053,gs1_mx,EAN-13 México,,,,,,1
FC-60403681,Desenfriol,marca,Otro,Desenfriol,BAYER OTC,Clorfemina/Fenilefrina/Paracetamol,,,CAPSULAS,C/30,63.00,100.81,60.0,37.5,med_otc_marca,35,86,7502276040368,gs1_mx,EAN-13 México,36.0,,36.0,36,si,2
FC-68910041,Algodón 5 g C/12,marca,Botiquín,Dibar,DIBAR,,,,Algodón,5 G,6.90,10.00,44.9,31.0,categoria,50,12,7501868910041,gs1_mx,EAN-13 México,,,,,,12
FC-03406501,Quirmex,marca,Botiquín,Quirmex,QUIRMEX,Vaselina + lanolina,,,Tela adhesiva,25 CM x 5 M,18.62,29.80,60.0,37.5,categoria,50,28,7503003406501,gs1_mx,EAN-13 México,,,,,,5
FC-08344488,Lactopram Lactobacillus,marca,Gastro,Lactopram,PROGELA,Lactobacillus,,,CAPSULAS,C/20 430 MG,27.24,45.00,65.2,39.5,med_otc_marca,35,37,7503008344488,gs1_mx,EAN-13 México,,,,,,1
FC-08443026,Alka-Seltzer,marca,Otro,Alka-Seltzer,BAYER OTC,Acido acetilsalicilico + Acido citrico + Bicarbonato de sodio,,,TABLETAS,C/100,262.00,340.60,30.0,23.1,med_otc_marca,35,354,7501008443026,gs1_mx,EAN-13 México,,,,,,35
FC-08491096,Cafiaspirina Tar C/100,marca,Otro,Cafiaspirina,BAYER OTC,Acido acetilsalicilico + Caffeina,,,TABLETAS,C/100,217.46,347.94,60.0,37.5,med_otc_marca,35,294,7501008491096,gs1_mx,EAN-13 México,,,,,,40
FC-08496701,Aspirina Eferv,marca,Otro,Aspirina,BAYER OTC,Acido acetilsalicilico,,,TABLETAS,C/12,35.18,45.74,30.0,23.1,med_otc_marca,35,48,7501008496701,gs1_mx,EAN-13 México,,,,,,1
FC-2E5B7248,Reumatol,marca,Producto,Del Viejito,QUIRMEX,MENTOL + ALCANFOR + METILSALICILATO,,,Pomada,60 G,11.00,17.61,60.1,37.5,sin_clasificar,35,16,7503003406600,gs1_mx,EAN-13 México,,,,,,2
FC-40010538,Next Tab,GENERICO,GENERAL,Next,,Paracetamol + Fenilefrina + Clorfenamina,,,TABLETAS,C/10,23.52,31.76,35.0,25.9,med_generico,60,38,6502400105384,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,4
FC-50608272,Contac Ultra,GENERICO,Otro,Contac,,Paracetamol + Fenilefrina + Clorfenamina,,,TABLETAS,,32.34,43.66,35.0,25.9,med_generico,60,52,75029650608272,gtin14_caja,GTIN-14 de caja; el POS escanea EAN-13/UPC,36.0,,36.0,36,si,2
FC-35155922,Pantene Bambu,marca,Higiene,Pantene,,,,,Acondicionador,400 ML,75.00,86.00,14.7,12.8,categoria,40,105,7500435155922,gs1_mx,EAN-13 México,,,,,,1
FC-64560163,Iodex Cristal,GENERICO,GENERAL,Iodex,HALEON,Mentol + eucalipto,,,UNGÜENTO,60 G,70.07,94.60,35.0,25.9,sin_clasificar,35,95,7501064560163,gs1_mx,EAN-13 México,,,,,,1
FC-07457826,Acondicionador Pantene Brillo Extremo,marca,Higiene,Pantene,,,,,Acondicionador,400 ML,75.70,121.12,60.0,37.5,categoria,40,106,7501007457826,gs1_mx,EAN-13 México,,,,,,1
FC-65095718,Centrum,marca,Otro,Centrum,PG PERF,Multivitaminico + minerales,,,TABLETAS,C/30,152.20,205.47,35.0,25.9,med_otc_marca,35,206,7501065095718,gs1_mx,EAN-13 México,,199.0,199.0,196,si,1
FC-65095947,Centrum Silver + 50,marca,Vitaminas,Centrum,PG PERF,Multivitaminico + minerales,,,TABLETAS,C/30,178.46,232.00,30.0,23.1,categoria,45,259,7501065095947,gs1_mx,EAN-13 México,,,,,,1
FC-56340131,Crema Para Peinar Sedal Rizos Definidos,marca,Cuidado personal,Sedal,,,,,Crema,300 ML,50.07,71.00,41.8,29.5,categoria,40,71,7501056340131,gs1_mx,EAN-13 México,,,,,,1
FC-54221482,Deeflamox Plus,GENERICO,Otro,Deeflamox,,Amoxicilina + Acido clavulanico,,875/125 MG,TABLETAS,,42.41,57.26,35.0,25.9,med_generico,60,68,7503854221482,checksum_invalido,Dígito verificador GS1 no cuadra,,,,,,1
FC-06249783,Sedal Rizos Def,marca,Higiene,Sedal,,,,,Shampoo,180 ML,19.11,25.00,30.8,23.6,categoria,40,27,7506306249783,gs1_mx,EAN-13 México,,,,,,1
FC-85171113,Condón Sico Invisible C/3,GENERICO,GENERAL,Sico,RB HEALTH,Latex,si,,CONDON,C/3,71.25,96.19,35.0,25.9,sin_clasificar,35,97,7501685171113,gs1_mx,EAN-13 México,,,,,,1
FC-56340025,Crema Para Peinar Sedal Restauracion Inst,marca,Cuidado personal,Sedal,,,,,Crema,300 ML,50.07,71.00,41.8,29.5,categoria,40,71,7501056340025,gs1_mx,EAN-13 México,,,,,,1
FC-85171118,Condón Sico,GENERICO,GENERAL,Sico,,Latex,si,,CONDON,C/3,71.25,96.19,35.0,25.9,sin_clasificar,35,97,7501685171118,checksum_invalido,Dígito verificador GS1 no cuadra,,,,,,1
FC-01157296,Naturella flujo moderado con alas,marca,Higiene,Naturella,,Celulosa absorbente,,,Toallas sanitarias,C/8,17.00,26.00,52.9,34.6,categoria,40,24,7506309895208,gs1_mx,EAN-13 México,,,,,,5
FC-40017100,Xl-3 Vr,marca,Producto,XL-3,,Paracetamol + Amantadina + Clorfenamina,,375/50/3 MG,TABLETAS,C/24,88.20,119.07,35.0,25.9,med_otc_marca,35,120,6502400171006,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,33.0,,33.0,33,si,2
FC-06209862,Desodorante Axe 48H Anarchy Fresh Love (Mujer),marca,Higiene,Axe,,Antitranspirante / desodorante,si,,Desodorante,SPRAY 150 ML,45.83,65.00,41.8,29.5,categoria,40,65,7506306209862,gs1_mx,EAN-13 México,,,,,,1
FC-06226852,Desodorante Axe Wom Anarchy,marca,Higiene,Axe,,Antitranspirante / desodorante,si,,Desodorante,SPRAY 150 ML,45.83,65.00,41.8,29.5,categoria,40,65,7506306226852,gs1_mx,EAN-13 México,,,,,,1
FC-06245686,Desodorante Axe Men Epic-F 48H,marca,Higiene,Axe,,Antitranspirante / desodorante,si,,Desodorante,SPRAY 150 ML,45.83,73.33,60.0,37.5,categoria,40,65,7506306245686,gs1_mx,EAN-13 México,,,,,,3
FC-56330378,Ponds desmaquillante Bio-Hydra dual,marca,Cuidado personal,Ponds,,,,,Loción limpiadora,200 ML,88.80,125.00,40.8,29.0,categoria,40,125,7501056330378,gs1_mx,EAN-13 México,,,,,,1
FC-40015366,Nasalub Sol,GENERICO,GENERAL,Nasalub,,Cloruro de sodio + Glicerol,,,SPRAY,30 ML,83.32,112.49,35.0,25.9,sin_clasificar,35,113,6502400153668,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-40032325,Suerox 8 Iones Lima Limón 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Lima Limón 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400323252,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-40035395,Suerox 8 Iones Coco 630 ML,GENERICO,GENERAL,Suerox,,Electrolitos / suero oral,si,,BEBIDA,Coco 630 ML,14.73,19.89,35.0,25.9,sin_clasificar,35,20,6502400353952,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-75354321,Tylenol,marca,Otro,Tylenol,KENVUE,,,,TABLETAS,TABLETAS,50.00,65.00,30.0,23.1,med_otc_marca,35,68,7501007535432,gs1_mx,EAN-13 México,,118.0,118.0,116,,1
FC-0BDE9283,Clophiven 200 Dosis 50 Mcg,marca,Producto,Clophiven,,,,,,15 G,56.51,73.47,30.0,23.1,sin_clasificar,35,77,,vacio,,,,,,,1
FC-75125811,Evenflo Colors,marca,Bebés,Evenflo,KIMBERLY CLARK,Material sintetico,,,Biberón,,13.40,21.44,60.0,37.5,categoria,30,19,7501027512581,gs1_mx,EAN-13 México,,,,,,1
FC-75163051,Evenflo Ensueno Azul,marca,Bebés,Evenflo,KIMBERLY CLARK,Material sintetico,,,Biberón,,15.80,25.28,60.0,37.5,categoria,30,21,7501027516305,gs1_mx,EAN-13 México,,,,,,24
FC-44B6751A,Aquito 500/100/30/4 Mg,marca,Otro,Laur,,,,,AMPOLLETA,3 AMPOLLETA,59.63,77.52,30.0,23.1,sin_clasificar,35,81,,vacio,,,,,,,1
FC-4FD413D2,Haspen,marca,Otro,Haspen,,,,20 MG/1 ML,AMPOLLETA,3 AMPOLLETA,23.53,30.59,30.0,23.1,sin_clasificar,35,32,,vacio,,,,,,,1
FC-2001A890,Ampigrin AD (Ampicilina + Dicloxacilina),marca,Otro,Ampigrin,,,,500/500/100/30MG/3 ML,AMPOLLETA,3 AMPOLLETA,81.71,106.23,30.0,23.1,sin_clasificar,35,111,,vacio,,,,,,,2
FC-75064938,Desodorante Ego Force 24H roll-on,marca,Higiene,Ego,,Antitranspirante / desodorante,si,,Desodorante,45 ML,23.89,40.00,67.4,40.3,categoria,40,34,75064938,ean8_o_interno,8 dígitos: EAN-8 real o código interno recortado,,,,,,2
FC-07521317,Gotero cristal,marca,Botiquín,Genérico,,Vidrio / plastico,,,Gotero,,1.20,7.00,483.3,82.9,sin_clasificar,35,7,7501507521317,gs1_mx,EAN-13 México,,,,,,100
FC-08344747,Afrodit,marca,Producto,Afrodit,PROGELA,Emolientes,,,,400 UI,45.08,72.13,60.0,37.5,sin_clasificar,35,61,7503008344747,gs1_mx,EAN-13 México,,,,,,5
FC-759A5EF9,Wermy,marca,Otro,Wermy,,,,300 MG,CAPSULAS,30 CAPSULAS,24.89,32.36,30.0,23.1,med_otc_marca,35,34,,vacio,,,,,,,2
FC-23001331,Sr. Ting pomada (ácido bórico),marca,Producto,Sr,LAB HORMONA,Acido bórico / talco,,,CREMA,,73.60,117.76,60.0,37.5,sin_clasificar,35,100,7501072300133,gs1_mx,EAN-13 México,,,,,,1
FC-27512574,Evenflo Colors,marca,Bebés,Evenflo,KIMBERLY CLARK,Material sintetico,,,Biberón,,15.80,25.28,60.0,37.5,categoria,30,21,7501027512574,gs1_mx,EAN-13 México,,,,,,1
FC-79071241,Bisolvon Infantil,marca,Respiratorio,Bisolvon,LAB HORMONA,Bromhexina,,,JARABE,Jarabe120 ML 80mg,144.95,216.00,49.0,32.9,med_otc_marca,35,196,7501037907124,gs1_mx,EAN-13 México,,,,,,1
FC-76000260,Crema Vitacilina amarilla aclaradora,marca,Cuidado personal,Vitacilina,,,,,Crema,100 G,80.00,120.00,50.0,33.3,categoria,40,112,7506376000260,gs1_mx,EAN-13 México,,,,,,1
FC-07F04F88,Amcef IM 500 mg (Inyectable),marca,Otro,Amcef,,,,500MG/2 ML,FRASCO AMPULA,1 FRASCO AMPULA,19.43,25.26,30.0,23.1,sin_clasificar,35,27,,vacio,,,,,,,2
FC-76000253,Crema Vitacilina roja antiarrugas,marca,Cuidado personal,Vitacilina,,,,,Crema,100 G,80.00,120.00,50.0,33.3,categoria,40,112,7506376000253,gs1_mx,EAN-13 México,,,,,,1
FC-19006371,Toallas Saba Invisible con alas C/10,marca,Higiene,Saba,,Solucion limpiadora,,,Toallas sanitarias,C/10,20.34,30.00,47.5,32.2,categoria,40,29,7501019006371,gs1_mx,EAN-13 México,,,,,,2
FC-06249776,Shampoo Sedal Ceramidas,marca,Higiene,Sedal,,Surfactantes / formula capilar,si,,Shampoo,180 ML,18.88,25.00,32.4,24.5,categoria,40,27,7506306249776,gs1_mx,EAN-13 México,,,,,,1
FC-1DA570E3,Cloxan,marca,Otro,Cloxan,,AMBROXOL,,30 MG,COMPRIMIDOS,20 COMPRIMIDOS,9.75,12.68,30.1,23.1,med_otc_marca,35,15,7501573900337,gs1_mx,EAN-13 México,25.0,,25.0,25,,2
FC-24511711,Silica Shine Sily 3/1 Mora,marca,Cuidado personal,ShineSily,,Silice / dimeticone,,,Tratamiento capilar,105 ML,45.26,63.00,39.2,28.2,categoria,40,64,7502224511711,gs1_mx,EAN-13 México,,,,,,1
FC-25652716,Escudo Antibacterial Original,marca,Higiene,Escudo,,Surfactantes / formula corporal,si,,Jabón,135 G,14.78,19.00,28.6,22.2,categoria,40,21,7506425652716,gs1_mx,EAN-13 México,,,,,,2
FC-76000277,Vitacilina crema humectante,marca,GENERAL,Vitacilina,KSK,,,,,100 G,277.00,374.00,35.0,25.9,sin_clasificar,35,374,7506376000277,gs1_mx,EAN-13 México,,,,,,1
FC-23273451,Jeringa insulina 0.5 ml,marca,Botiquín,Jayor,JAYOR,Plastico medical grade,,,Jeringa,C/100,217.20,282.36,30.0,23.1,categoria,50,326,7506022327345,gs1_mx,EAN-13 México,,,,,,1
FC-35908116,Talco Para Bebe Mennen Azul ch,marca,Higiene,Mennen,,Talco / zinc undecilenato,,,,100 g,38.18,54.00,41.4,29.3,categoria,40,54,7501035908116,gs1_mx,EAN-13 México,,,,,,1
FC-84335531,Aspirina Forte C/24 Caf Iaspirina,marca,Otro,Aspirina,BAYER OTC,Acido acetilsalicilico + Caffeina,,,TABLETAS,C/24,71.79,93.33,30.0,23.1,med_otc_marca,35,97,7501008433553,gs1_mx,EAN-13 México,,,,,,1
FC-3E863E37,Tratidri,marca,Otro,Tratidri,,,,500/50 MG 60 G,GEL,1 GEL,47.47,61.72,30.0,23.1,sin_clasificar,35,65,,vacio,,,,,,,1
FC-35919129,Shampoo Palmolive Vital Keratina,marca,Higiene,Palmolive,,Surfactantes / formula capilar,si,,,400 mL,49.29,55.00,11.6,10.4,categoria,40,70,7501035919129,gs1_mx,EAN-13 México,,,,,,1
FC-29003221,Quirmex,marca,Botiquín,Quirmex,QUIRMEX,Vaselina + lanolina,,,Vaso recolector,,3.70,5.93,60.3,37.6,categoria,50,9,7506552900322,gs1_mx,EAN-13 México,,,,,,1
FC-84999001,Alka-Seltzer,marca,Otro,Alka-Seltzer,BAYER OTC,Acido acetilsalicilico + Acido citrico + Bicarbonato de sodio,,,TABLETAS,C/50,174.00,278.41,60.0,37.5,med_otc_marca,35,235,7501008499900,gs1_mx,EAN-13 México,,,,,,1
FC-84431050,Acetona Jaloma chico,marca,Cuidado personal,Jaloma,,,,,Acetona,60 ML,11.53,17.00,47.4,32.2,categoria,40,17,7596844310502,gs1_otro_pais,"EAN-13 válido, prefijo 759 (no 750)",,,,,,1
FC-127F5753,Mercurio Arnica Tomar,marca,Producto,Mercurio,,Arnica montana,,,GOTAS,C/25,7.50,12.00,60.0,37.5,sin_clasificar,35,13,3311000003920,gs1_otro_pais,"EAN-13 válido, prefijo 331 (no 750)",,,,,,3
FC-25E452B6,Mercurio Arnica Untar,marca,Producto,Mercurio,,Arnica montana,,,POMADA,C/25,7.50,12.00,60.0,37.5,sin_clasificar,35,13,3311000003920,gs1_otro_pais,"EAN-13 válido, prefijo 331 (no 750)",,,,,,3
FC-82740011,Nuvel quita esmalte humectante lanolina,marca,Cuidado personal,Nuvel,,,,,Quita esmalte,125 ML,14.08,20.00,42.0,29.6,categoria,40,20,7501082740011,gs1_mx,EAN-13 México,,,,,,1
FC-28A424E5,Diziver,marca,Otro,Diziver,,HIDROCLOROTIAZIDA,,25 MG,TABLETAS,20 TABLETAS,8.15,10.60,30.1,23.1,med_otc_marca,35,14,7502009746383,gs1_mx,EAN-13 México,,,,,,3
FC-84437151,Acetona Jaloma mediano,marca,Cuidado personal,Jaloma,,,,,Acetona,120 ML,19.77,28.00,41.6,29.4,categoria,40,28,7596844371510,gs1_otro_pais,"EAN-13 válido, prefijo 759 (no 750)",,,,,,1
FC-33950063,Pediasure fresa,marca,Suplemento,Pediasure,,Suplemento nutricional,,,Líquido,236 ML,44.00,66.00,50.0,33.3,categoria,45,64,7501033956331,gs1_mx,EAN-13 México,,,,,,2
FC-33950100,Ensure chocolate,marca,Suplemento,Ensure,,Suplemento nutricional,,,Líquido,236 ML,42.00,63.00,50.0,33.3,categoria,45,61,7501033954061,gs1_mx,EAN-13 México,,,,,,2
FC-85097661,Chinoin Junior jarabe infantil,marca,GENERAL,Chinoin,CHINOIN,,,,,,127.90,204.64,60.0,37.5,sin_clasificar,35,173,7501088509766,gs1_mx,EAN-13 México,,,,,,1
FC-82176351,Neurobión inyectable prellenado,marca,Otro,Neurobion,PG HEALTH,,,,Inyectable,C/1,273.42,438.00,60.2,37.6,med_otc_marca,35,370,7501298217635,gs1_mx,EAN-13 México,,,,,,1
FC-33954078,Ensure Fresa,marca,Gastro,Ensure,,Suplemento nutricional,,,Suplemento,237 ML,42.00,63.00,50.0,33.3,sin_clasificar,35,57,7501033954078,gs1_mx,EAN-13 México,,,,,,2
FC-33956126,Glucerna Vainilla,marca,Gastro,Glucerna,,Suplemento nutricional,,,Suplemento,237 ML,47.50,72.00,51.6,34.0,sin_clasificar,35,65,7501033956126,gs1_mx,EAN-13 México,,,,,,2
FC-357D4A17,Ceftazidima,marca,Otro,Ceftazidima,,Ceftazidima,,1 G/3 ML,FRASCO AMPULA,1 FRASCO AMPULA,45.42,59.05,30.0,23.1,sin_clasificar,35,62,7501349022799,gs1_mx,EAN-13 México,,261.0,261.0,256,,2
FC-84095411,Saridon,marca,Otro,Saridon,BAYER OTC,,,,TABLETAS,120 TABLETAS,64.75,84.18,30.0,23.1,med_otc_marca,35,88,7501008409541,gs1_mx,EAN-13 México,27.0,,27.0,27,si,1
FC-84973401,Flanax,marca,Otro,Flanax,BAYER OTC,,,,TABLETAS,00 TABLETAS · C/12,182.70,237.51,30.0,23.1,med_otc_marca,35,247,7501008497340,gs1_mx,EAN-13 México,,227.0,227.0,223,si,1
FC-36041273,Crema Hinds Clasica Rosa,marca,Cuidado personal,Hinds,,Emolientes / humectantes,,,Crema,400 mL,49.97,60.00,20.1,16.7,categoria,40,70,0378360412734,gs1_otro_pais,"EAN-13 válido, prefijo 037 (no 750)",,,,,,1
FC-35911208,Palmolive Aquarium,marca,Higiene,Palmolive,,Surfactantes / formula corporal,si,,Jabón líquido,221 ML,23.79,34.00,42.9,30.0,categoria,40,34,7501035911208,gs1_mx,EAN-13 México,,,,,,1
FC-07457796,Shampoo Pantene Brillo Extremo,marca,Higiene,Pantene,,Surfactantes / formula capilar,si,,Shampoo,400 mL,75.70,121.12,60.0,37.5,categoria,40,106,7501007457796,gs1_mx,EAN-13 México,,,,,,1
FC-24511629,Silica Shine uva,marca,Cuidado personal,Shine Sily,,Silice / dimeticone,,,Tratamiento capilar,105 ML,44.76,63.00,40.8,29.0,categoria,40,63,7502224511629,gs1_mx,EAN-13 México,,,,,,1
FC-40013850,Crema Teatrical Lanolina,marca,Cuidado personal,Teatrical,,Emolientes / lanolina,,,Crema,52 g,30.02,43.00,43.2,30.2,categoria,40,43,6502400138504,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,1
FC-45079011,Labello,marca,Otro,Labello,BDF MEXICO,Emolientes labiales,,,POMADA,,56.50,90.40,60.0,37.5,sin_clasificar,35,77,7501054507901,gs1_mx,EAN-13 México,,,,,,1
FC-43475014,Pañal Diapro Grande,marca,Otro,Diapro,,Celulosa absorbente,,,,,99.00,149.00,50.5,33.6,categoria,30,129,7501943475014,gs1_mx,EAN-13 México,,,,,,2
FC-35020008,Shampoo Herbal Essences Limp Renov,marca,Higiene,Herbal Essences,,Surfactantes / formula capilar,si,,Shampoo,375 ML,73.76,104.00,41.0,29.1,categoria,40,104,7500435020008,gs1_mx,EAN-13 México,,,,,,1
FC-06234062,Sedal Anti Nudos,marca,Cuidado personal,Sedal,,,,,Crema,300 ML,50.07,71.00,41.8,29.5,categoria,40,71,7506306234062,gs1_mx,EAN-13 México,,,,,,1
FC-35020077,Shampoo Head & Shoulders Alivio Refrescante,marca,Higiene,Head & Shoulders,,Surfactantes / formula capilar,si,,Shampoo,180 mL,24.91,35.00,40.5,28.8,categoria,40,35,7500435020077,gs1_mx,EAN-13 México,,,,,,1
FC-42270027,Crema Nivea Facial 7 en 1,marca,Cuidado personal,Nivea,,Emolientes / humectantes,,,Crema,200 ML,86.77,137.40,58.3,36.8,categoria,40,122,42270027,ean8_o_interno,8 dígitos: EAN-8 real o código interno recortado,,,,,,1
FC-43454811,Toallitas húmedas cuidado puro,marca,Higiene,Huggies,KIMBERLY CLARK,Solucion limpiadora,,,Toallas húmedas,C/80,39.60,63.37,60.0,37.5,categoria,40,56,7501943454811,gs1_mx,EAN-13 México,,,,,,9
FC-43471900,Toallitas húmedas C/120,marca,Higiene,Absorsec,KIMBERLY CLARK,Solucion limpiadora,,,Toallas húmedas,C/120,21.46,34.34,60.0,37.5,categoria,40,31,7501943471900,gs1_mx,EAN-13 México,,,,,,1
FC-447B30F9,Budesonida,marca,Otro,Budesonida,,Budesonida,,0.250MG/2 ML,AMPOLLETA,5 AMPOLLETA,131.38,170.80,30.0,23.1,sin_clasificar,35,178,7501349023987,gs1_mx,EAN-13 México,,,,,,1
FC-48335305,Degasa 15.00 Agua Oxigenada,marca,Botiquín,Degasa,DEGASA,Agua oxigenada,,,Agua oxigenada,480 ML,14.70,23.52,60.0,37.5,categoria,50,23,7501048335305,gs1_mx,EAN-13 México,,,,,,1
FC-48623006,Protec Pads Facial Redondos C/100,marca,Cuidado personal,Protec,DEGASA,Material absorbente,,,Pads,C/100,21.70,34.72,60.0,37.5,categoria,40,31,7501048623006,gs1_mx,EAN-13 México,,,,,,2
