sku,producto_id,fuente,precio,confianza,etiqueta,origen_csv,notas
FC-92503558,262,similares,65.0,60,dudoso,Similares,Claude 20260815 · PALOMERO DE PLASTICO 2.2 LITROS.. (Score: 52%)
FC-92504539,258,similares,109.01,60,dudoso,Similares,Claude 20260815 · CREMA FACIAL TONO MEDIO 75ML ETERNAL SEC.. (Score: 60%)
FC-92506045,275,similares,199.0,60,dudoso,Similares,Claude 20260815 · TRAJE SIMI GATO.. (Score: 53%)
FC-92506601,273,similares,399.01,60,dudoso,Similares,Claude 20260815 · MUÑECO DR SIMI CATRIN.. (Score: 52%)
FC-92509213,230,similares,99.0,60,dudoso,Similares,Claude 20260815 · TARJETERO ADHERIBLE P/CELULAR NEGRO.. (Score: 52%)
FC-92511261,229,similares,79.0,60,dudoso,Similares,Claude 20260815 · GANCHO PARA COLGAR BOLSO.. (Score: 57%)
FC-926099D3,522,similares,48.0,60,dudoso,Similares,Claude 20260815 · KETOTIFENO 0.02GR/ML SOL 120ML.. (Score: 50%)
FC-92821171,395,similares,69.0,60,dudoso,Similares,Claude 20260815 · BOLSA ECOLOGICA SIMILANDIA.. (Score: 51%)
FC-930E0B1B,56,similares,204.0,60,dudoso,Similares,Claude 20260815 · SIMISURE DIAB VAINILLA 462GR.. (Score: 62%)
FC-931B4809,519,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 58%)
FC-9507CD66,543,similares,96.0,60,dudoso,Similares,Claude 20260815 · ALCANFOR/MENTOL 197/197MG INHALADOR.. (Score: 54%)
FC-95129166,309,similares,27.0,60,dudoso,Similares,Claude 20260815 · PASTA DENTAL 3DWHITE 67ML ORAL-B.. (Score: 54%)
FC-95467264,463,similares,349.0,60,dudoso,Similares,Claude 20260815 · VASO ACERO INOX C/POPOTE ACERO 450ML.. (Score: 56%)
FC-98100381,478,similares,66.0,60,dudoso,Similares,Claude 20260815 · KETOCONAZOL SHAMPOO 120ML.. (Score: 64%)
FC-9827438F,545,similares,99.0,60,dudoso,Similares,Claude 20260815 · RAMIPRIL 5MG 16TAB.. (Score: 51%)
FC-99425580,263,similares,169.0,60,dudoso,Similares,Claude 20260815 · TRAJE SIMI MILITAR.. (Score: 50%)
FC-99428024,264,similares,46.0,60,dudoso,Similares,Claude 20260815 · PIN SIMI OJOS DE CORAZON.. (Score: 56%)
FC-9A1C64E7,537,similares,177.0,60,dudoso,Similares,Claude 20260815 · TOALLA PULLMAN BEIGE.. (Score: 60%)
FC-A680F97E,528,similares,80.01,60,dudoso,Similares,Claude 20260815 · TURNO GOLFITO.. (Score: 54%)
FC-AA7B0686,156,similares,132.0,60,dudoso,Similares,Claude 20260815 · ROSUVASTATINA 10MG 30TAB.. (Score: 56%)
FC-BE0A0E46,561,similares,169.0,60,dudoso,Similares,Claude 20260815 · TRAJE SIMI MILITAR.. (Score: 56%)
FC-C6C20517,97,similares,174.0,60,dudoso,Similares,Claude 20260815 · VITAMINA B12/MINERALES 5ML 10AMP.. (Score: 60%)
FC-C8B741F6,560,similares,239.01,60,dudoso,Similares,Claude 20260815 · SUERO FAC VIT C 10% 30ML ETERNAL SEC.. (Score: 56%)
FC-CB5C11ED,532,similares,199.0,60,dudoso,Similares,Claude 20260815 · TRAJE SIMI PANDA.. (Score: 56%)
FC-D037156B,530,similares,46.0,60,dudoso,Similares,Claude 20260815 · SUBSALICILATO DE BISMUTO 120ML.. (Score: 62%)
FC-D3D28E20,526,similares,143.0,60,dudoso,Similares,Claude 20260815 · DOMPERIDONA 10MG 30TAB.. (Score: 51%)
FC-D751525D,553,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 61%)
FC-DF39BB27,559,similares,107.01,60,dudoso,Similares,Claude 20260815 · CREMA VARICES/PIERNAS CANSADAS 480ML.. (Score: 58%)
FC-DF8ADDAB,107,similares,42.0,90,alta,Similares,Claude 20260815 · LORATADINA/BETAMETASONA 10TAB.. (Score: 100%)
FC-E69F2E63,523,similares,69.0,60,dudoso,Similares,Claude 20260815 · ACEITE ESCENCIAL DE EUCALIPTO 15ML.. (Score: 64%)
FC-EFB599B5,546,similares,66.0,60,dudoso,Similares,Claude 20260815 · METILDOPA 250MG 30TAB.. (Score: 54%)
FC-F7DB080D,153,similares,469.0,60,dudoso,Similares,Claude 20260815 · ALIMENTO EN PVO VAINILLA PARA DIAB 400GR.. (Score: 62%)
FC-FBD776D2,535,similares,249.0,60,dudoso,Similares,Claude 20260815 · FRAGANCIA PARA DAMA ETERNAL SEC 60ML.. (Score: 54%)
FC-FD718DF3,549,similares,119.0,60,dudoso,Similares,Claude 20260815 · OMEPRAZOL 20MG 60CAP.. (Score: 57%)
FC-FD92D114,154,similares,169.0,60,dudoso,Similares,"Claude 20260815 · TRAJE SIMI CHAMARRA ROMPEVIENTOS, JEANS.. (Score: 62%)"
FC-FEAECBF1,544,similares,90.0,60,dudoso,Similares,Claude 20260815 · PIN ACRILICO.. (Score: 50%)
