sku,nombre_original,nombre,marca,presentacion,principio_activo,tipo,margen_pct,costo,precio_nuevo
FC-43489004,Jbn Escudo Rosa Prot Y Cuid 110G,Escudo Rosa Prot Y Cuid,Escudo,110 G,,marca,60,40.73,65.17
FC-42326414,Agua Mic Garnier De Rosas 400 Ml,Garnier De Rosas,Garnier,400 ML,,marca,60,27.75,44.41
FC-76000284,Agua Mic Vitacilina Ros-Sab 500Mln,Vitacilina Ros-Sab,Vitacilina,500 ML,,marca,60,21.08,33.73
FC-82790504,Desmaq Bifasico Oil Nuvel 125Ml,Nuvel Bifasico Oil,Nuvel,125 ML,,marca,60,16.7,26.72
FC-45722547,Agua Mice Natural-G Bifasic 120Ml,Natural-G Bifasic,,120 ML,,marca,60,37.72,60.36
FC-67905131,Jbn Liq Blumen Cherry Bloss 221Ml,Blumen Cherry Bloss,Blumen,221 ML,,marca,60,17.78,28.45
FC-21012303,Tas Hum Claris Desmaq Aloe C/40,Claris Desmaq Aloe,Claris,C/40,,marca,60,14.78,23.65
FC-14121782,Jabon De Proteina De Arroz Y Concha Nacar 8,De Proteina De Arroz Y Concha Nacar 8,,,,marca,60,167.69,268.31
FC-25652716,Jbn Escudo Azul Rey 135G,Escudo Azul Rey,Escudo,135 G,,marca,60,73.65,117.85
FC-06248052,Deo Aero Dove Tono Uniforme 150Ml 3Pack,Dove Aero Tono Uniforme 3Pack,Dove,150 ML,,marca,60,147.3,235.69
FC-06248045,Deo Dove Spy Invisible Dry 150Ml C3,Dove Spy Invisible Dry C3,Dove,150 ML,,marca,60,129.46,207.14
FC-35911208,Jbn Liq Palmol Aquarium 221Ml,Palmolive Aquarium,Palmolive,221 ML,,marca,60,45.83,73.33
FC-08837311,Desod Nivea Pearlb Mspy150Ml,Nivea Pearlb Mspy,Nivea,150 ML,,marca,60,12.54,20.07
FC-06209862,Deo Axe Spy 150Ml 48H Anarchy Fresh Love Fo,Axe 48H Anarchy Fresh Love Fo,Axe,SPRAY 150 ML,,marca,60,16.87,27.0
FC-43489165,Jbn Liq Escudo Blanco Neut 225Ml,Escudo Blanco Neut,Escudo,225 ML,,marca,60,45.83,73.33
FC-84900280,Jaloma Agua De Rosas 130Ml Spray,Jaloma Spray,Jaloma,130 ML,,marca,60,23.79,38.07
FC-06226852,Desod Axe Wom Anarchy Spy 150Ml,Axe Wom Anarchy,Axe,SPRAY 150 ML,,marca,60,88.8,142.09
FC-46657035,Jbn Lio Palmol Flor Czo-Rsa 221Ml,Lio Flor Czo-Rsa,Lio,221 ML,,marca,60,45.83,73.33
FC-56330378,Loc Limp Ponds Bio-Hydra Dual 200Ml,Ponds Bio-Hydra Dual,Ponds,200 ML,,marca,60,28.1,44.97
FC-76040436,Deo Mexsana P/Pies Spy 150Ml,Mexsana P/Pies,Mexsana,SPRAY 150 ML,,marca,60,49.29,78.87
FC-61113000,Tco Desod Odolex,Odolex Desod,Odolex,,,marca,60,31.77,50.84
FC-61123009,Odolex Naturals 300Gr Talco Desodorante,Odolex Naturals Talco Desodorante,Odolex,300 G,,marca,60,23.99,38.39
FC-41500096,Tiraleche De Cristal 1 Pza,De Cristal,,1 PZA,,marca,60,80.46,128.74
FC-20500201,Sh Pert Plus Ac-Oliva 400Ml,Pert Plus Ac-Oliva,Pert,400 ML,,marca,60,64.12,102.6
FC-72300171,Ting Polvo 85G,Polvo,,85 G,,marca,60,43.58,69.73
FC-06217461,Ico Desod Rexona Effi Fresh 200G,Rexona Effi Fresh,Rexona,200 G,,marca,60,43.58,69.73
FC-82740011,Quita Esm Nuvel Humec 125Ml,Nuvel Humec,Nuvel,125 ML,,marca,60,43.58,69.73
FC-52910971,Cra Fructis Pei B-Dano Quim 300Ml,Fructis Pei B-Dano Quim,Fructis,300 ML,,marca,60,78.22,125.16
FC-52816297,Cra Fructis Pei Oil-R L-Coco 300Ml,Fructis Pei Oil-R L-Coco,Fructis,300 ML,,marca,60,63.05,100.88
FC-40025839,Sh Int Lomecan V 200Ml,Lomecan V,Lomecan,200 ML,,marca,60,17.2,27.52
FC-40030338,Sh Int Lomecan V Aclar 200Ml,Lomecan V Aclar,Lomecan,200 ML,,marca,60,41.84,66.95
FC-45720550,Silkhair Quita Esmalte Mora Azul 100Ml,Quita Esmalte Mora Azul,,100 ML,,marca,60,41.84,66.95
FC-92511261,Cra Nutribela1O Bio Colageno 300Gn,Nutribela Bio Colageno,Nutribela,300 G,,marca,60,29.31,46.9
FC-92509213,Cra Nutribela Nutrice Tarro 300G,Nutribela Nutrice Tarro,Nutribela,300 G,,marca,60,40.24,64.39
FC-06257597,Rexona 1O0Gr Tco Pies Efficient Orig,Rexona 1O0 G Tco Pies Efficient Orig,Rexona,,,marca,60,75.7,121.12
FC-46073156,Sh Caprice Nat Mzna 380 Ml,Caprice Nat Mzna,Caprice,380 ML,,marca,60,75.7,121.12
FC-20500171,Cra Pert Oliv+Ac Agu P/Pein 100 Ml,Pert Oliv+Ac Agu P/Pein,Pert,100 ML,,marca,60,25.04,40.07
FC-35155922,Ac Pantene Bambu 400Ml,Pantene Bambu,Pantene,400 ML,,marca,60,15.7,25.12
FC-07457826,Acono Pant Brillo Extremo 40Cml,Pantene Brillo Extremo,Pantene,40 ML,,marca,60,75.7,121.12
FC-56340131,Cra Sedal Rizos Obedie 300Ml,Sedal Rizos Obedie,Sedal,300 ML,,marca,60,19.11,30.58
FC-01165321,Acond Pant Rizos Definid 400Ml,Pantene Acond Rizos Definid,Pantene,400 ML,,marca,60,71.8,114.88
FC-06249783,Sh Sedal Rizos Def Inf-Act 180Ml,Sedal Rizos Def Inf-Act,Sedal,180 ML,,marca,60,50.07,80.12
FC-56360429,Tco Desod Eficc Pies 200 G,Desod Eficc Pies,,200 G,,marca,60,36.33,58.13
FC-56340025,Cra Sedal Sos Recon-Estru 300Ml,Sedal Sos Recon-Estru,Sedal,300 ML,,marca,60,18.88,30.21
FC-56342227,Cra Sedal Rizos Obedientes 135Ml,Sedal Rizos Obedientes,Sedal,135 ML,,marca,60,8.24,13.19
FC-06249776,Sh Sedal Ceramidas Inf-Act 180Ml,Sedal Ceramidas Inf-Act,Sedal,180 ML,,marca,60,75.7,121.12
FC-01303454,Sh Pant Ctrcaida A/Pv 400Ml,Pantene Ctrcaida A/Pv,Pantene,400 ML,,marca,60,40.66,65.06
FC-07457796,Sh Pant Brillo Extremo,Pantene Brillo Extremo,Pantene,,,marca,60,75.7,121.12
FC-35155847,Sh Pant Bambu Ctrl Caida 400 Ml,Pantene Bambu Ctrl Caida,Pantene,400 ML,,marca,60,40.66,65.06
FC-06249240,Sh Savile Ker-Sab Fza Repar 700Ml,Savile Ker-Sab Fza Repar,Savile,700 ML,,marca,60,44.76,71.62
FC-06249226,Sh Savile Bio-Sab Creci Res 700Ml,Savile Bio-Sab Creci Res,Savile,700 ML,,marca,60,50.07,80.12
FC-24511629,Silica Shine Sil 3/1 Uva 120 Mi,Silica Shine Sil 3/1 Uva 120 Mi,Silica Shine,,,marca,60,18.17,29.08
FC-06234062,Cra Sedal Anti Nudos 300 Ml,Sedal Anti Nudos,Sedal,300 ML,,marca,60,17.77,28.44
FC-56342258,Cra Sedal Recons Estructur 135Ml,Sedal Recons Estructur,Sedal,135 ML,,marca,60,17.77,28.44
FC-61111501,Tco Desdo Odolex 150 G,Odolex Desdo,Odolex,150 G,,marca,60,50.07,80.12
FC-61124013,Tco Odolex Fresh 150G,Odolex Fresh,Odolex,150 G,,marca,60,73.76,118.02
FC-56340124,Cra Sedal Sos Ceramida 300Ml,Sedal Sos Ceramida,Sedal,300 ML,,marca,60,57.9,92.64
FC-35020008,Sh Hbs Limp Renoy 375Ml,Herbal Essences Limp Renoy,Herbal Essences,375 ML,,marca,60,57.9,92.64
FC-35169035,Mousse Herbal Ess Rizo 200G,Herbal Essences Rizo,Herbal Essences,200 G,,marca,60,73.76,118.02
FC-35168991,Sh Hash Anti Comezon 375Ml,Hask Anti Comezon,Hask,375 ML,,marca,60,32.34,51.75
FC-35231237,Sh Hash Anti Comezon 375Ml,Hask Anti Comezon,Hask,375 ML,,marca,60,36.73,58.77
FC-92504539,Cera Mod Ego Met 25 G,Ego Mod Met,Ego,25 G,,marca,60,36.73,58.77
FC-38312374,Cera Gel Moco De Gorila Citr 100G,Moco de Gorila Gel Citr,Moco de Gorila,100 G,,marca,60,24.91,39.86
FC-35231244,Sh H&S Anti Comezon 180 Ml,Head & Shoulders Anti Comezon,Head & Shoulders,180 ML,,marca,60,18.39,29.43
FC-35020077,Sh Hbs Alivio Instant,Herbal Essences Alivio Instant,Herbal Essences,,,marca,60,45.23,72.37
FC-92503558,Gel Ego Magnetic Fij-Alta 200 Ml,Ego Magnetic Fij-Alta,Ego,200 ML,,marca,60,56.61,90.58
FC-99425580,Gel X-Extreme Titan 250G,X-Treme Titan,X-Treme,250 G,,marca,60,7.37,11.8
FC-99428024,Gel Moco De Gorila Punk 80 G,Moco de Gorila Punk,Moco de Gorila,80 G,,marca,60,7.37,11.8
FC-46073040,Sh Caprice Sp Biotina Fza 200Ml,Caprice Sp Biotina Fza,Caprice,200 ML,,marca,60,45.26,72.42
FC-46073033,Sh Caprice Sp Acti Ceramida 200Ml,Caprice Sp Acti Ceramida,Caprice,200 ML,,marca,60,45.26,72.42
FC-54073302,Silica Shine Sily Oleo Argan 120Ml,Silica Shine Sily Oleo Argan,Silica Shine,120 ML,,marca,60,44.76,71.62
FC-24511711,Silica Shine Sily 3/1 Mora 120Ml,Silica Shine Sily 3/1 Mora,Silica Shine,120 ML,,marca,60,45.64,73.03
FC-24511636,Silica Shine Sily 3/1 Naran 12Cml,Silica Shine Sily 3/1 Naran,Silica Shine,12 ML,,marca,60,50.51,80.82
FC-75001865,Brill Palmol Lio 115M,Lio 115M,Lio,,,marca,60,17.54,28.07
FC-46655055,Mousse Caprice Volum-Cirl 200 G,Caprice Volum-Cirl,Caprice,200 G,,marca,60,20.02,32.04
FC-06247468,Gel Ego Fresh C-Cas Fij-Alt 200Ml,Ego Fresh C-Cas Fij-Alt,Ego,200 ML,,marca,60,62.04,99.27
FC-92506601,Gel Ego For Men Attraction 200 Ml,Ego For Men Attraction,Ego,200 ML,,marca,60,17.98,28.77
FC-86494262,Cep Dent Oral-B Indicat35Sve,Oral-B Indicat35Sve,Oral-B,,,marca,60,8.6,13.76
FC-92506045,Cera Ego Firme Matte 25 G,Ego Firme Matte,Ego,25 G,,marca,60,17.2,27.52
FC-84431050,Acetona Jaloma 60 Ml,Jaloma,Jaloma,60 ML,,marca,60,19.77,31.64
FC-45720567,Silkhair Quita Esmalte Coco 100 Ml,Quita Esmalte Coco,,100 ML,,marca,60,2.75,4.41
FC-84437151,Acetona Jaloma 120 Ml,Jaloma,Jaloma,120 ML,,marca,60,2.75,4.41
FC-48640775,Protec Tocmx2.75M 1 Pza Venda De Yeso C12,Tocmx2.75M Venda De Yeso C12,,1 PZA,,marca,60,2.75,4.41
FC-48640799,Protec 15Cmx2.75M 1 Pza Venda De Yeso C12,15Cmx2.75M Venda De Yeso C12,,1 PZA,,marca,60,2.75,4.41
FC-46640629,Protec 20Cmx2.75M 1 Pza Venda De Yeso,20Cmx2.75M Venda De Yeso,,1 PZA,,marca,60,61.02,97.64
FC-48640751,Protec 5Cmx2.75M 1 Pza Venda De Yeso C12 Pz,5Cmx2.75M Venda De Yeso C12 Pz,,1 PZA,,marca,60,147.15,235.45
FC-26462078,Ternura Flor-Balon 18 Pzs Chupon Con Miel,Ternura Flor-Balon 18 Pzs Chupon Con Miel,Ternura,,,marca,60,47.79,76.47
FC-54500216,Cra Nivea Sdatarr Giga 400Ml,Nivea Sdatarr Giga,Nivea,400 ML,,marca,60,42.25,67.61
FC-75064938,Desod Ego Force 24H R-On 45Ml Dic26,Ego Force 24H R-On Dic26,Ego,45 ML,,marca,60,42.24,67.59
FC-20501673,Cra Hinds Liq Agave Azul 400Ml,Hinds Liq Agave Azul,Hinds,400 ML,,marca,60,59.81,95.7
FC-08802838,Cra Nivea B Sofmilk Sec400Ml,Nivea B Sofmilk Sec400 Ml,Nivea,,,marca,60,43.63,69.81
FC-36040450,Cra Grisi Conchnac P/Manos 80 Ml,Grisi Conchnac P/Manos,Grisi,80 ML,,marca,60,86.77,138.84
FC-56330309,Cra Clarant B3 Nml/Gsa 100G,Clariant B3 Nml/Gsa,Clariant,100 G,,marca,60,105.35,168.56
FC-42270027,Cra Nivea Cuidada Clar-Nat 200Ml,Nivea Cuidada Clar-Nat,Nivea,200 ML,,marca,60,85.87,137.4
FC-00942760,Gel Niv Fac Ref Hidra Hyalu 200Ml,Niv Fac Ref Hidra Hyalu,,200 ML,,marca,60,62.25,99.6
FC-54558682,Cra Corp Niveamilk 400Ml+Cra100Ml,Corp Niveamilk +Cra100 Ml,,400 ML,,marca,60,22.3,35.68
FC-40030963,Cra Teatrical Cel-Ma Nutrit 400Ml,Teatrical Cel-Ma Nutrit,Teatrical,400 ML,,marca,60,34.41,55.06
FC-26462061,Chupon Ternura Ortodontic Miel C3,Ternura Ortodontic Miel C3,Ternura,,,marca,60,74.31,118.9
FC-35469151,Cra Lubriderm Uv Fps15 120Ml,Lubriderm Uv Fps15,Lubriderm,120 ML,,marca,60,15.51,24.82
FC-36032776,Sh Grisi Ricitos Oro Biopure 250Ml,Ricitos de Oro Oro Biopure,Ricitos de Oro,250 ML,,marca,60,29.96,47.94
FC-07502441,Jbn Johnson'S Baby Antes/Dor 75 G,Johnson S Baby Antes/Dor,Johnson,75 G,,marca,60,20.65,33.04
FC-46655079,Jbn Palmol N-Bal Corp Baby0% 90G,Palmolive N-Bal Corp Baby0%,Palmolive,90 G,,marca,60,19.95,31.92
FC-82790016,Tco Nuvel Protec Pura Para Bebe200G,Nuvel Pura Para Bebe200 G,Nuvel,,,marca,60,39.9,63.84
FC-36041402,Cra Hinds Hidr-Extr Almendras 500Ml,Hinds Hidr-Extr Almendras,Hinds,500 ML,,marca,60,31.59,50.55
FC-07528939,Cra Lubriderm Thint Psec120Ml,Lubriderm Thint Psec120 Ml,Lubriderm,,,marca,60,49.97,79.96
FC-31244486,Cra Lubriderm P/Normal 120Ml,Lubriderm P/Normal,Lubriderm,120 ML,,marca,60,43.59,69.75
FC-46074504,Sh Mennen Zero% Sve 400Ml,Mennen Zero% Sve,Mennen,400 ML,,marca,60,66.93,107.09
FC-36033735,Sh Ricitos Oro Agua De Coco 250Ml,Ricitos de Oro Oro Agua De Coco,Ricitos de Oro,250 ML,,marca,60,66.93,107.09
FC-46650708,Sh Mennen Lavan-Extrac Aven 200Ml,Mennen Lavan-Extrac Aven,Mennen,200 ML,,marca,60,53.99,86.39
FC-22133286,Sh Grisi Rici Oro Miel 250Ml,Grisi Rici Oro Miel,Grisi,250 ML,,marca,60,70.91,113.46
FC-86472048,Cep Dent Accion Mayo Alcan Somed,Alcanforada Mayo Somed,Alcanforada,,,marca,60,35.45,56.73
FC-09498091,Sensodyne Protec Complet + Acc Lim Efec 90G,Sensodyne Complet + Acc Lim Efec,Sensodyne,90 G,,marca,60,48.58,77.73
FC-95129166,Cep Dent Oral-B 3Dw Advant Med2X1,Oral-B 3Dw Advant Med2X1,Oral-B,,,marca,60,70.91,113.46
FC-42417644,Cra Nivea Cuidado Int P/Mano 75Ml,Nivea Cuidado Int P/Mano,Nivea,75 ML,,marca,60,30.36,48.58
FC-09419324,Cd Sensodyne Original,Sensodyne Original,Sensodyne,,,marca,60,26.38,42.21
FC-40013898,Cra Teatrical Lanol/Ros 52Gr,Teatrical Lanol/Ros,Teatrical,52 G,,marca,60,26.3,42.09
FC-54549819,Cra Corp Niv Soft M P/Seca 100Ml,Corp Niv Soft M P/Seca,,100 ML,,marca,60,26.3,42.09
FC-17360604,Tas San Kotex Ant Flujo Abundante S/A 10Pz,Kotex Ant Flujo Abundante S/A 10Pz,Kotex,,,marca,60,10.4,16.64
FC-46072050,Sh Mennen Miel-Mza Sve 200Ml,Mennen Miel-Mza Sve,Mennen,200 ML,,marca,60,20.8,33.28
FC-22150221,Jbn Ricitos D Oro Neutro 90 G,Ricitos de Oro Neutro,Ricitos de Oro,90 G,,marca,60,59.36,94.98
FC-20501765,Cra Grisi Aloe Vera P/Manos 80 Mln,Grisi Aloe Vera P/Manos,Grisi,80 ML,,marca,60,26.48,42.37
FC-56326142,Cra S Ponds Humectante 100G,Ponds S Humectante,Ponds,100 G,,marca,60,26.48,42.37
FC-48691005,Protec Tensolastic Plus 10Cmx5M Venda Elast,Tensolastic Plus Venda Elast,,10 CM x 5 M,,marca,60,20.02,32.04
FC-31976394,Enj Buc List Anticari-Al 250Ml,Listerine Anticari-Al,Listerine,250 ML,,marca,60,30.02,48.04
FC-43427754,Tas Sanit Kotex Nat Flex Noct C/5,Kotex Nat Flex Noct,Kotex,C/5,,marca,60,31.77,50.84
FC-31887928,Enj Buc List Care Zero Mta 250Ml,Listerine Care Zero Mta,Listerine,250 ML,,marca,60,26.2,41.92
FC-54503095,Cra Nivea Sda Tarro 100 Ml,Nivea Sda Tarro,Nivea,100 ML,,marca,60,96.63,154.61
FC-85800198,Tas Hum Th Bebin Super C/80,Huggies Super,Huggies,C/80,,marca,60,36.3,58.08
FC-72629012,Cep Dent Clinic Adulto Med 40 C12,Colgate Adulto Med 40 C12,Colgate,,,marca,60,36.3,58.08
FC-10974329,Enj Buc List Zero Mta Sve 250Ml,Listerine Zero Mta Sve,Listerine,250 ML,,marca,60,12.97,20.76
FC-00701992,Nivea 75Ml Cra P/Manos 3En1 Ant-Arrugas,Nivea Manos 3En1 Ant-Arrugas,Nivea,75 ML,,marca,60,12.97,20.76
FC-46655727,Jbn Mennen Baby Magic Lavan 90 G,Mennen Baby Magic Lavan,Mennen,90 G,,marca,60,38.31,61.3
FC-35908130,Tco Mennen Azul 200G,Mennen Azul,Mennen,200 G,,marca,60,69.19,110.71
FC-48691104,Protec Tensolastic Plus 15Cmx5M Venda Elast,Tensolastic Plus Venda Elast,,15 CM x 5 M,,marca,60,40.68,65.09
FC-35908147,Tco Mennen Rosa 200G,Mennen Rosa,Mennen,200 G,,marca,60,13.32,21.32
FC-19006371,Tas Sanit Saba Inv Alas C/10,Saba Inv Alas,Saba,C/10,,marca,60,7.21,11.54
FC-85103015,Bebin Super 4Opzs Toallitas Humedas,Huggies Super Toallitas Humedas,Huggies,4 PZA,,marca,60,106.44,170.31
FC-48690800,Protec Tensolastic Plus 5Cmx5M Venda Elasti,Tensolastic Plus Venda Elasti,,5 CM x 5 M,,marca,60,21.14,33.83
FC-40171550,C D Sensodyne Rapido Alivio 100G,Sensodyne Rapido Alivio,Sensodyne,100 G,,marca,60,405.32,648.52
FC-48690909,Protec Tensolastic Plus 7Cmx5M Venda Elasti,Tensolastic Plus Venda Elasti,,7 CM x 5 M,,marca,60,405.32,648.52
FC-68900264,DIBAR ALCOHOL 125ML ROJO,Dibar Rojo,Dibar,125 ML,,marca,60,8.1,12.96
FC-68960257,DIBAR ALCOHOL ILT ROJO,Dibar Ilt Rojo,Dibar,,,marca,60,638.45,1021.53
FC-68900226,ADIBAR ALCOHOL 250ML. ROJO,Dibar Rojo,Dibar,250 ML,,marca,60,15.68,25.09
FC-68990023,DIBAR ALCOHOL 500ML. ROJO,Dibar Rojo,Dibar,500 ML,,marca,60,676.85,1082.96
FC-77620056,AGUA DESTILADA LA FLOR 1 LT,La Flor Agua Destilada,La Flor,1 L,,marca,60,19.0,30.4
FC-00003920,ARNICA MERCURIO,Mercurio Arnica,Mercurio,,,marca,60,15.0,24.0
FC-76000260,CREMA AMARILLA VITACILINA ACLARADORA,Vitacilina Amarilla Aclaradora,Vitacilina,,,marca,60,80.0,128.0
FC-76000253,CREMA ROJA VITACILINA ANTIARRUGAS 100GR,Vitacilina Roja Antiarrugas,Vitacilina,100 G,,marca,60,80.0,128.0
FC-16800803,DIAPRO CONFORT MED C/10,Diapro Confort Med,Diapro,C/10,,marca,60,170.0,272.0
FC-86901100,DABAN ALCOHOL AZUL 125ML.,Dibar Azul,Dibar,125 ML,,marca,60,37.0,59.2
FC-68901131,ALCOHOL AZUL 1LT,Azul,,1 L,,marca,60,205.0,328.0
FC-68901117,DIBAR ALCOHOL AZUL 250ML,Dibar Azul,Dibar,250 ML,,marca,60,56.5,90.4
FC-68901124,ALCOHOL AZUL 500ML,Azul,,500 ML,,marca,60,120.0,192.0
FC-98223704,BOLO EUROBION TAB C/20,Eurobion Bolo Tab,Eurobion,C/20,,marca,30,269.28,350.07
FC-33950100,LIO 236ML CHTE,Lio Chte,Lio,236 ML,,marca,60,42.0,67.2
FC-33950063,BASUYE LIQ 236ML FSA,Basuye Liq Fsa,Basuye,236 ML,,marca,60,84.0,134.4
FC-33950070,ENSURE LIQ 236ML VNLLA,Ensure Liq Vnlla,Ensure,236 ML,,marca,60,42.0,67.2
FC-33956133,LUCERNA LIQ 237ML,Lucerna Liq,Lucerna,237 ML,,marca,60,95.0,152.0
FC-33956140,GLUCERNA SR LIQ 237ML FRESA,Glucerna Sr Liq Fresa,Glucerna,237 ML,,marca,60,95.0,152.0
FC-07521317,GOTERO CRISTAL,Cristal,,,,marca,60,119.99,191.99
FC-01157296,NATURELLA FLUJO MOD C/ALAS C/8,Naturella Flujo Mod C/Alas,Naturella,C/8,,marca,60,85.0,136.0
FC-01405335,NATURELLA NOCHE CON ALAS C/8,Naturella Noche Con Alas,Naturella,C/8,,marca,60,18.5,29.6
FC-33951008,EDIASURE LIQ 236ML CHTE,Pediasure Liq Chte,Pediasure,236 ML,,marca,60,44.0,70.41
FC-33954245,PEDIASURE LIQ 236ML FSA,Pediasure Liq Fsa,Pediasure,236 ML,,marca,60,44.0,70.41
FC-33950209,PEDIASURE LIQ 236ML VNLLA,Pediasure Liq Vnlla,Pediasure,236 ML,,marca,60,88.0,140.81
FC-19006623,SABA BUENAS NOCHES,Saba Buenas Noches,Saba,,,marca,60,99.0,158.4
FC-65054135,TB 3 SURT,Tb 3 Surt,,,,marca,60,37.48,59.97
FC-56323066,FASELINE PURO 42G,FaseLine Puro,FaseLine,42 G,,marca,60,15.5,24.8
FC-56323059,VASELINE PURO 85G,Vaseline Puro,Vaseline,85 G,,marca,60,45.5,72.8
FC-01246730,VAPORUB POM 12G C12 LATAS,Vaporub Pom C12 Latas,Vaporub,12 G,,marca,60,255.0,408.0
FC-02012475,VICK NAPORUB UNG 100G,Vick Ung,Vick,100 G,,marca,60,113.2,181.12
FC-02012468,VICK VAPORUB UNG 50G,Vaporub Ung,Vaporub,50 G,,marca,60,82.41,131.86
FC-1FBF5206,POMADA REOMATOLUM DEL VIEJITO 60G,Del Viejito Reomatolum,Del Viejito,60 G,,marca,60,20.0,32.0
FC-2E5B7248,POMADA REOMATOLUM DEL VIEJITO 60G VARFAM LAVA OJOS VIDRIO ABR56 81606,Del Viejito Reomatolum Varfam Lava Ojos Vidrio Abr56 81606,Del Viejito,60 G,,marca,60,11.0,17.61
FC-62034164,MERCURIO ESPIRITUS UNTAR C/25 1770823,Mercurio Espiritus Untar 1770823,Mercurio,C/25,,marca,60,6.0,9.61
FC-3676D5DC,MERCURIO ESPIRITUS TOMAR C/25 1760823,Mercurio Espiritus Tomar 1760823,Mercurio,C/25,,marca,60,6.0,9.61
FC-5A697CC2,MERCURIO ACEITE OLIVO C/25 1000625 83825,Mercurio Aceite Olivo 1000625 83825,Mercurio,C/25,,marca,60,8.0,12.8
FC-39036C88,MERCURIO GLICERINA C/25 1230723 83125,Mercurio Glicerina 1230723 83125,Mercurio,C/25,,marca,60,12.0,19.21
FC-DFF99C3F,MERCURIO JARABE DE GRANADA. C/25 1750823,Mercurio,Mercurio,JARABE,,marca,30,7.0,9.1
FC-931B4809,MERCURIO ACEITE COCO C/25 800523 83064,Mercurio Aceite Coco 800523 83064,Mercurio,C/25,,marca,60,8.0,12.8
FC-D4AC123B,MERCURIO ACEITE ALMENDRAS C/25 790523,Mercurio Aceite Almendras 790523,Mercurio,C/25,,marca,60,8.0,12.8
FC-38CAFE6B,MERCURIO ACEITE ROMERO C/25 1910923,Mercurio Aceite Romero 1910923,Mercurio,C/25,,marca,60,8.0,12.8
FC-926099D3,KOHN MERTIOLATE ROJO C/25 012023 82912,Mertiolate Kohn Rojo 012023 82912,Mertiolate,C/25,,marca,60,9.0,14.4
FC-E69F2E63,MADRID ACEITE EUCALIPTO C/25 2712017 83401,Madrid Aceite Eucalipto 2712017 83401,Madrid,C/25,,marca,60,11.0,17.61
FC-25E452B6,MERCURIO ARNICA UNTAR C/25 1790823 83156,Mercurio Arnica Untar 1790823 83156,Mercurio,C/25,,marca,60,7.5,12.0
FC-127F5753,MERCURIO ARNICA TOMAR C/25 1780823 83156,Mercurio Arnica Tomar 1780823 83156,Mercurio,C/25,,marca,60,7.5,12.0
FC-D3D28E20,MERCURIO YODO UNTAR C/25 1810623 83156,Mercurio Yodo Untar 1810623 83156,Mercurio,C/25,,marca,60,11.5,18.41
FC-69387811,MERCURIO ACEITE GOMENOLADO C/25 1160623,Mercurio Aceite Gomenolado 1160623,Mercurio,C/25,,marca,60,8.0,12.8
FC-A680F97E,MERCURIO YODO TOMAR C/25 1800823 83156,Mercurio Yodo Tomar 1800823 83156,Mercurio,C/25,,marca,60,11.0,17.61
FC-C4530823,MERCURIO OXIDO DE ZINC C/50 1620824 83521,Mercurio Oxido De Zinc 1620824 83521,Mercurio,C/50,,marca,60,54.0,86.4
FC-D037156B,MERCURIO BISMUTO SUBNITRATO C/50 1390724,Mercurio Bismuto Subnitrato 1390724,Mercurio,C/50,,marca,60,73.5,117.6
FC-B8D7C997,MERCURIO BICARBONATO SOBRES C/50,Bicarbonato Sobres,Bicarbonato,C/50,,marca,60,48.0,76.81
FC-CB5C11ED,MERCURIO MAGNESIA ANISADA C/50 1560824,Mercurio Magnesia Anisada 1560824,Mercurio,C/50,,marca,60,51.5,82.4
FC-578F060C,MERCURIO BORAX POLVO C/50 140072483490,Mercurio Borax Polvo 140072483490,Mercurio,C/50,,marca,60,53.0,84.81
FC-FBD776D2,MERCURIO PERLAS DE ETER C/50 1630824,Mercurio Perlas De Eter 1630824,Mercurio,C/50,,marca,60,170.0,272.0
FC-5EF90195,MERCURIO FLOR DE ARNICA C/50 1430724,Mercurio Flor De Arnica 1430724,Mercurio,C/50,,marca,60,55.0,88.0
FC-9A1C64E7,EDIGAR PERILLA N O CAJA,Perilla Edigar N O Caja,Perilla,,,marca,60,14.5,23.21
FC-47AAF23B,MERCURIO SULFATIAZOL POLVO C/50 1710824,Mercurio Sulfatiazol Polvo 1710824,Mercurio,C/50,,marca,60,69.0,110.4
FC-FFC25DD1,EDIGAR PERILLA N 4 CAJA 1439 81608,Perilla Edigar N 4 Caja 1439 81608,Perilla,,,marca,60,19.5,31.21
FC-614E4F82,EDGAR PERILLA N 3 C A 1334 81608,Perilla Edgar N 3 C A 1334 81608,Perilla,,,marca,60,18.5,29.6
FC-C22EBFE6,EDIGAR PERILLA N 2 CAJA 1145 81608,Perilla Edigar N 2 Caja 1145 81608,Perilla,,,marca,60,16.0,25.6
FC-BCF59548,EDIGAR PERILLA N 1 CAJA 1113 81608,Perilla Edigar N 1 Caja 1113 81608,Perilla,,,marca,60,15.5,24.8
FC-9507CD66,MERCURIO HABA ALCANFORADA C/50 1510724,Mercurio Haba Alcanforada 1510724,Mercurio,C/50,,marca,60,65.0,104.0
FC-FEAECBF1,MERCURIO POMADA TEPEZCOHUITE C/25,Mercurio Tepezcohuite,Mercurio,C/25,,marca,60,9.5,15.2
FC-9827438F,MERCURIO POMADA VENENO DE ABEJA C/25,Mercurio Veneno De Abeja,Mercurio,C/25,,marca,60,9.5,15.2
