sku,nombre,marca,presentacion,categoria
FC-77FE5C83,S,Sonblefam,1 CREMA,Otro
FC-79071241,Bisolvon,Bisolvon,120 ML,Otro
FC-79400556,Sanfer Syncol,Sanfer,871210734092301 TABLETAS,Otro
FC-7AA38F97,Pentiver,Pentiver,1 SUSPENSION,Otro
FC-7AF7ACB5,Charlyn,Charlyn,3 TABLETAS,Otro
FC-7D1D9857,Acetilsalicilico,Acido,30 TABLETAS,Otro
FC-7F90064A,Ampicilina,,1 FRASCO AMPULA,Otro
FC-80950139,Lásico enzimático,Lásico,,Producto
FC-80953017,Trojan,Trojan,C/3,Producto
FC-82176351,Neurobion Sot.O- Dc Ete Jga Sot.O- Prell Health9.20,Neurobion,C/1,Otro
FC-82740011,Nuvel Humec,Nuvel,125 ML,Cuidado personal
FC-82790016,Nuvel Pura Para Bebe200 G,Nuvel,,Higiene
FC-82790504,Nuvel Bifasico Oil,Nuvel,125 ML,Cuidado personal
FC-82F88FED,Captopril,,30 TABLETAS,Otro
FC-830BF3FB,Diviltac,Diviltac,1 FRASCO AMPULA,Otro
FC-83351381,Agua oxigenada,Dermocleen,100 ML,Botiquín
FC-83351691,Degasa Agua Oxigenada,Degasa,230 ML,Botiquín
FC-83510531,Protec Antibacterial 22.40 Antibacterial,Protec,250 ML,Cuidado personal
FC-84095411,Saridon,Saridon,120 TABLETAS,Otro
FC-84335531,Aspirina Forte C/24 Caf Iaspirina,Aspirina,C/24,Otro
FC-84431050,Jaloma,Jaloma,60 ML,Cuidado personal
FC-84437151,Jaloma,Jaloma,120 ML,Cuidado personal
FC-84900280,Jaloma Spray,Jaloma,130 ML,Cuidado personal
FC-84973401,Flanax,Flanax,00 TABLETAS · C/12,Otro
FC-84999001,Alka-Seltzer,Alka-Seltzer,C/50,Otro
FC-85097661,Chinoin Jr. Jbe Ine 60 Mant Jr. Jbe Mant,Chinoin,,
FC-85103015,Huggies Super Toallitas Humedas,Huggies,4 PZA,
FC-85592111,Scabisan,Scabisan,,Producto
FC-85800198,Huggies Super,Huggies,C/80,Higiene
FC-85BDBD3D,Acroxil-C,Acroxil-C,1 SUSPENSION,Otro
FC-86167151,Nestum Probioticos Avena 270 Probioticos,Nestum,,Abarrotes
FC-86472048,Alcanforada Mayo Somed,Alcanforada,,Higiene
FC-86494262,Oral-B Indicat35Sve,Oral-B,,Higiene
FC-86708021,Protec Sigital Termometro 42.10 Sigital Termometro,Protec,,Producto
FC-86901100,Dibar Azul,Dibar,125 ML,Botiquín
FC-86A95D07,Tropharma,Tropharma,20 TABLETAS,Otro
FC-87154871,Graneodin,Graneodin,C/16,Otro
FC-87932321,Microdacyn Lubricante Ico Cereza 50 Ml 1 Ico Cereza 50,Microdacyn,50 ML,Higiene
FC-88508929,Anara,Anara,C/20,Otro
FC-885F2723,Carbamazepina,,20 TABLETAS,Otro
FC-88915491,Tarmin 2 Mg /12,Tarmin,12 TABLETAS,Otro
FC-88923551,Cilocid Iv,Cilocid,C/20,Otro
FC-88947797,Tribedoce,Tribedoce,C/30,Otro
FC-89100101,Algodón 200 g,Dibak,200 G,Botiquín
FC-89794961,Ne,Histiacil,JARABE,Otro
FC-89810021,Armstrong Herklin Ne Sham 60 Ml,Armstrong,60 ML,Producto
FC-89F00320,Mercurio Arnica 2550123,Mercurio,C/25,Cuidado personal
FC-8FB65B79,Klarix,Klarix,1 SUSPENSION,Otro
FC-92503558,Ego Magnetic Fij-Alta,Ego,200 ML,Cuidado personal
FC-92504539,Ego Mod Met,Ego,25 G,Higiene
FC-92506045,Ego Firme Matte,Ego,25 G,Higiene
FC-92506601,Ego For Men Attraction,Ego,200 ML,Cuidado personal
FC-92509213,Nutribela Nutrice Tarro,Nutribela,300 G,Cuidado personal
FC-92511261,Nutribela Bio Colageno,Nutribela,300 G,Cuidado personal
FC-926099D3,Mertiolate Kohn Rojo 012023 82912,Mertiolate,C/25,Producto
FC-92821171,Nido Nido Nestle Bolsa Nestle,Nido,240 G,Abarrotes
FC-93022567,Rexona Men V8 Tun Spy,Rexona,90 G,Higiene
FC-93025797,Axe Men Dark Temp,Axe,SPRAY 150 ML,Higiene
FC-93025865,Axe Men Gold Temp,Axe,,Higiene
FC-93025919,Axe Excite Seco,Axe,SPRAY 152 ML,Higiene
FC-93037806,Rexona Men Marine,Rexona,SPRAY 150 ML,Higiene
FC-93038223,Rexona Men Sport,Rexona,SPRAY 150 ML,Higiene
FC-930E0B1B,Vandil,Vandil,1 SUSPENSION,Otro
FC-931B4809,Mercurio Aceite Coco 800523 83064,Mercurio,C/25,Producto
FC-9507CD66,Mercurio Haba Alcanforada 1510724,Mercurio,C/50,Producto
FC-95129166,Oral-B 3Dw Advant Med2X1,Oral-B,,Higiene
FC-95201021,Hipoglos Turo,Hipoglos,45 G,Producto
FC-9538F7D6,Fasiclor,Fasiclor,1 SUSPENSION,Otro
FC-95451096,Sal de uvas,Sal de Uvas,C/10,Otro
FC-95467264,Sal de Uvas Ixh C/50,Sal de Uvas,C/50,Producto
FC-95779436,Acetilsalicilico Ef,Acido,20 TABLETAS,Otro
FC-974EE5FD,Gimalxina,,1 SUSPENSION,Otro
FC-97BEFA1A,Amlodipino,Amlodipino,100 TABLETAS,Otro
FC-98100381,Shampoo Herklin,Herklin,20 ML,Higiene
FC-98217659,Dolo-Neurobión,Neurobion,C/3 · 3 ML,Otro
FC-98223704,Eurobion Bolo Tab,Eurobion,C/20,Otro
FC-9827438F,Mercurio Veneno De Abeja,Mercurio,C/25,Cuidado personal
FC-99425580,X-Treme Titan,X-Treme,250 G,Cuidado personal
FC-99428024,Moco de Gorila Punk,Moco de Gorila,80 G,Cuidado personal
FC-9A1C64E7,Perilla Edigar N O Caja,Perilla,,Producto
FC-9A37D44A,Amdoryl,Amdoryl,14 CAPSULAS,Otro
FC-9A4E4C31,Clindamicina,,FRASCO AMPULA,Otro
FC-9ABFB996,Elaphteron,Elaphteron,20 TABLETAS,Otro
FC-9B93AC4C,Beneventol,,1 SUSPENSION,Otro
FC-9F67BB73,Amifarin,Amifarin,1 SUSPENSION,Otro
FC-A0D320D1,Amoxicilina,,12 CAPSULAS,Otro
FC-A23F290E,Zitriasol,,15 CAPSULAS,Otro
FC-A2B284E0,Hialuronato De Sodio 4Mg,Hialuronato,10 ML,Producto
FC-A455EE80,Cefagen,Cefagen,1 SUSPENSION,Otro
FC-A680F97E,Mercurio Yodo Tomar 1800823 83156,Mercurio,C/25,Producto
FC-A871D831,Perilla N6,Edigar,PIEZA,Botiquín
FC-A909ABC0,Odivitor,Odivitor,10 TABLETAS,Otro
FC-AA7B0686,Drosquim Ad 1 Ibe 300/160,Drosquim,200 ML,Producto
FC-AA905BF7,Perludil,Perludil,1 FRASCO AMPULA,Otro
FC-ACA2A2F6,Alopurinol,,20 TABLETAS,Otro
FC-AE5EEDF7,Bactiver,Bactiver,20 TABLETAS,Otro
FC-AEA8C8DA,Namifen,Namifen,20 TABLETAS,Otro
FC-B18E386A,Cefaroxil,Cefaroxil,15 TABLETAS,Otro
FC-B2123139,Oxivag,Oxivag,4 TABLETAS,Otro
FC-B25094C4,Lesaclor,Lesaclor,1 SUSPENSION,Otro
FC-B25B4654,Cina,Cina,7 TABLETAS,Otro
FC-B3B8F9BB,Desrotan,Desrotan,10 TABLETAS,Otro
FC-B4477A00,Pentibroxil,Pentibroxil,16 CAPSULAS,Otro
FC-B69FCBF4,Lesaclor,Lesaclor,35 TABLETAS,Otro
FC-B72A6420,Pentiver,Pentiver,1 SUSPENSION,Otro
FC-B8D7C997,Bicarbonato Sobres,Bicarbonato,C/50,Botiquín
FC-BCF59548,Perilla N1,Edigar,PIEZA,Botiquín
FC-BDB2E087,Irbesartan,,14 TABLETAS,Otro
FC-BE0A0E46,Sumitex Intravenoso- Pu X 25 Mm C/1 Azul,Sumitex,22 G,Botiquín
FC-BE2ACF63,Valnait Capsulas,Valnait,C/30,Producto
FC-BE76D409,I.M,Amcef,1 FRASCO AMPULA,Otro
FC-C101D5B1,Bisoprolol,,30 TABLETAS,Otro
FC-C22EBFE6,Perilla N2,Edigar,PIEZA,Botiquín
FC-C4530823,Mercurio Oxido De Zinc 1620824 83521,Mercurio,C/50,Producto
FC-C636D8EA,I.M,Ceftriaxona,1 FRASCO AMPULA,Otro
FC-C6C20517,Budimin,Budimin,20 TABLETAS,Otro
FC-C721E8D7,Levofloxacino,,7 TABLETAS,Otro
FC-C8B741F6,Fc 01711/2030,Fc,,Producto
FC-C9F4ACCC,Acemetacina,,14 CAPSULAS,Otro
FC-CB5C11ED,Mercurio Magnesia Anisada 1560824,Mercurio,C/50,Producto
FC-CD261CD5,Doliprofen,Doliprofen,10 TABLETAS,Otro
FC-CF18C740,Clindamicina,,16 CAPSULAS,Otro
FC-CF719C07,Diclofen,Diclofen,12 CAPSULAS,Otro
FC-D037156B,Mercurio Bismuto Subnitrato 1390724,Mercurio,C/50,Producto
FC-D06E54FE,Valclan,Valclan,10 TABLETAS,Otro
FC-D11D586A,Valgab 3 Ibe /6Ml,Valgab,50 MG,Producto
FC-D210172A,Ampicilina,,1 FRASCO AMPULA,Otro
FC-D3D28E20,Mercurio Yodo Untar 1810623 83156,Mercurio,C/25,Producto
FC-D4AC123B,Mercurio Aceite Almendras 790523,Mercurio,C/25,Producto
FC-D5AC44CA,Amifarin,Amifarin,20 CAPSULAS,Otro
FC-D751525D,Animalin,Animalin,GOTAS,Otro
FC-D9391288,Azitromicina,,1 SUSPENSION,Otro
FC-DA34D88D,Erbitrax,Erbitrax,C/7,Otro
FC-DB3B2584,Celesbitan,Celesbitan,1 FRASCO AMPULA,Otro
FC-DB4A39AE,Efe,Calcio,12 COMPRIMIDOS,Otro
FC-DDFBABDF,12H Ped,Clamoxin,1 SUSPENSION,Otro
FC-DE106642,Inf,Ampigrin,3 AMPOLLETA,Otro
FC-DEAF33B0,Bactiver,Bactiver,1 SUSPENSION,Otro
FC-DF39BB27,Alevarin Capsulas,Alevarin,C/45,Producto
FC-DF8ADDAB,Erispan,Erispan,1 FRASCO AMPULA,Otro
FC-DFF99C3F,Mercurio,Mercurio,JARABE,Otro
FC-E374F23E,Cefagen,Cefagen,1 SUSPENSION,Otro
FC-E4BE37BE,Atorvastatina,,10 TABLETAS,Otro
FC-E4EFC4C2,Fasiclor,Fasiclor,15 CAPSULAS,Otro
FC-E535DE28,Diurmessel,Diurmessel,20 TABLETAS,Otro
FC-E6112F15,Nalixone,,20 TABLETAS,Otro
FC-E69F2E63,Madrid Aceite Eucalipto 2712017 83401,Madrid,C/25,Producto
FC-E6B50AC3,Celecoxib,Celecoxib,10 CAPSULAS,Otro
FC-E826D304,Lincomicina /2Ml 6 Ampolletas,Lincomicina,600 MG,Producto
FC-E9C38DC4,Ciprofloxacino G.I,,14 TABLETAS,Otro
FC-EADF1484,Diosmina Hesperidina,,20 TABLETAS,Otro
FC-EFB599B5,Mercurio Pan Puerco 25401233,Mercurio,C/25,Cuidado personal
FC-F183C6E9,Penipot,Penipot,1 FRASCO AMPULA,Otro
FC-F22C72BE,12H,Clamoxin,10 TABLETAS,Otro
FC-F3E734A0,Fasiclor,Fasiclor,1 SUSPENSION,Otro
FC-F48FF7EF,Clamoxin,Clamoxin,1 SUSPENSION,Otro
FC-F4E9C71F,Amoxicilina,,1 SUSPENSION,Otro
FC-F7A2CACF,Indarzona,Indarzona,30 CAPSULAS,Otro
FC-F7DB080D,Ovisen,Ovisen,28 TABLETAS,Otro
FC-F817BC3A,Sibicos,Sibicos,1 CREMA,Otro
FC-F82A6E4B,Ampicilina,,10 TABLETAS,Otro
FC-F8691496,F,Bactiver,16 TABLETAS,Otro
FC-F967863B,Terficho,Terficho,40 CAPSULAS,Otro
FC-FA3D96E6,N Calcitriol,Becatrim,30 CAPSULAS,Otro
FC-FBD776D2,Mercurio Perlas De Eter 1630824,Mercurio,C/50,Producto
FC-FD718DF3,Mercurio Sulfatiazol 2600223,Mercurio,C/25,Cuidado personal
FC-FD845E68,Aciclovir,Aciclovir,35 TABLETAS,Otro
FC-FD92D114,Ovisen,Ovisen,14 TABLETAS,Otro
FC-FEAECBF1,Mercurio Tepezcohuite,Mercurio,C/25,Cuidado personal
FC-FFC25DD1,Perilla N4,Edigar,PIEZA,Botiquín
